Nevskia persephonica	0.8888	0.8869	0.03672	0.05174
Hydrocarboniphaga effusa	0.8824	0.8873	0.0367	0.1335
Steroidobacter agariperforans	0.8248	0.8912	0.03276	2.027
Sinimarinibacterium flocculans	0.8961	0.8864	0.03665	0.2647
Nevskia aquatilis	0.8823	0.8873	0.0367	0.1362
Solimonas aquatica	0.8875	0.8870	0.03672	0.01362
Nevskia ramosa	0.8853	0.8871	0.03672	0.04902
Steroidobacter denitrificans	0.8239	0.8912	0.03264	2.062
Fontimonas thermophila	0.8928	0.8866	0.03669	0.1690
Alkanibacter difficilis	0.8773	0.8877	0.03663	0.2839
Solimonas soli	0.9104	0.8855	0.03619	0.6880
Nevskia terrae	0.8934	0.8866	0.03669	0.1853
Hydrocarboniphaga daqingensis	0.8818	0.8874	0.0367	0.1526
Nevskia soli	0.8514	0.8894	0.03548	1.071
Solimonas variicoloris	0.9716	0.8814	0.02898	3.112
Solimonas terrae	0.9425	0.8833	0.03361	1.761
