Nocardioides pakistanensis	0.9142	0.9049	0.01376	0.6759
Nocardioides marinisabuli	0.9191	0.9049	0.01373	1.034
Kribbella hippodromi	0.9001	0.9050	0.01377	0.3558
Nocardioides intraradicalis	0.9172	0.9049	0.01374	0.8952
Nocardioides exalbidus	0.9070	0.9050	0.01378	0.1451
Actinopolymorpha cephalotaxi	0.8712	0.9052	0.01349	2.520
Nocardioides ungokensis	0.9182	0.9049	0.01373	0.9687
Kribbella solani	0.8998	0.9050	0.01377	0.3776
Nocardioides endophyticus	0.9141	0.9049	0.01376	0.6686
Nocardioides pyridinolyticus	0.9175	0.9049	0.01374	0.9170
Nocardioides pacificus	0.9175	0.9049	0.01374	0.9170
Kribbella koreensis	0.8992	0.9050	0.01377	0.4212
Nocardioides deserti	0.9153	0.9049	0.01375	0.7564
Actinopolymorpha pittospori	0.8739	0.9052	0.01353	2.313
Nocardioides nanhaiensis	0.9039	0.9050	0.01378	0.07983
Kribbella swartbergensis	0.8971	0.9050	0.01376	0.5741
Nocardioides furvisabuli	0.9127	0.9049	0.01376	0.5669
Nocardioides lentus	0.9044	0.9050	0.01378	0.04354
Marmoricola scoriae	0.9074	0.9050	0.01378	0.1742
Nocardioides marinus	0.9177	0.9049	0.01374	0.9316
Kribbella alba	0.8987	0.9050	0.01377	0.4575
Nocardioides gilvus	0.9101	0.9050	0.01377	0.3704
Nocardioides islandensis	0.8966	0.9050	0.01376	0.6105
Nocardioides zeicaulis	0.9106	0.9049	0.01377	0.4139
Nocardioides dokdonensis	0.9172	0.9049	0.01374	0.8952
Kribbella shirazensis	0.8918	0.9051	0.01373	0.9687
Nocardioides ganghwensis	0.9066	0.9050	0.01378	0.1161
Aeromicrobium alkaliterrae	0.9027	0.9050	0.01378	0.1669
Nocardioides salarius	0.9214	0.9049	0.01371	1.204
Aeromicrobium camelliae	0.9014	0.9050	0.01377	0.2614
Kribbella deserti	0.9054	0.9050	0.01378	0.02903
Nocardioides hwasunensis	0.8986	0.9050	0.01377	0.4648
Nocardioides aquiterrae	0.9172	0.9049	0.01374	0.8952
Nocardioides massiliensis	0.9197	0.9049	0.01372	1.079
Nocardioides plantarum	0.9031	0.9050	0.01378	0.1379
Kribbella sancticallisti	0.8999	0.9050	0.01377	0.3704
Nocardioides mesophilus	0.9130	0.9049	0.01376	0.5887
Thermasporomyces composti	0.8652	0.9053	0.01338	2.997
Nocardioides oleivorans	0.9000	0.9050	0.01377	0.3631
Nocardioides alpinus	0.9127	0.9049	0.01376	0.5669
Nocardioides fonticola	0.9088	0.9050	0.01377	0.2760
Kribbella endophytica	0.9014	0.9050	0.01377	0.2614
Kribbella antibiotica	0.9031	0.9050	0.01378	0.1379
Nocardioides alkalitolerans	0.9133	0.9049	0.01376	0.6105
Kribbella jejuensis	0.8917	0.9051	0.01373	0.9760
Kribbella amoyensis	0.8938	0.9051	0.01375	0.8218
Nocardioides daedukensis	0.9176	0.9049	0.01374	0.9243
Nocardioides solisilvae	0.9156	0.9049	0.01375	0.7782
Nocardioides halotolerans	0.9039	0.9050	0.01378	0.07983
Nocardioides daphniae	0.9137	0.9049	0.01376	0.6395
Nocardioides zeae	0.9054	0.9050	0.01378	0.02903
Nocardioides lianchengensis	0.9178	0.9049	0.01374	0.9389
Nocardioides caeni	0.9100	0.9050	0.01377	0.3631
Aeromicrobium panaciterrae	0.8992	0.9050	0.01377	0.4212
Nocardioides kongjuensis	0.9112	0.9049	0.01377	0.4575
Nocardioides baekrokdamisoli	0.8961	0.9050	0.01376	0.6468
Tenggerimyces mesophilus	0.8615	0.9053	0.01330	3.293
Nocardioides phosphati	0.9166	0.9049	0.01374	0.8515
Nocardioides hungaricus	0.8925	0.9051	0.01374	0.9170
Kribbella lupini	0.8919	0.9051	0.01373	0.9614
Kribbella aluminosa	0.8864	0.9051	0.01369	1.366
Aeromicrobium marinum	0.9022	0.9050	0.01378	0.2032
Kribbella albertanoniae	0.8990	0.9050	0.01377	0.4357
Aeromicrobium ginsengisoli	0.9015	0.9050	0.01377	0.2542
Aeromicrobium halocynthiae	0.8971	0.9050	0.01376	0.5741
Nocardioides tritolerans	0.8809	0.9052	0.01363	1.783
Actinopolymorpha rutila	0.8678	0.9052	0.01343	2.785
Marmoricola aquaticus	0.9045	0.9050	0.01378	0.03628
Mumia flava	0.9014	0.9050	0.01377	0.2614
Nocardioides terrae	0.9199	0.9049	0.01372	1.093
Nocardioides luteus	0.9146	0.9049	0.01375	0.7055
Marmoricola aequoreus	0.9054	0.9050	0.01378	0.02903
Kribbella ginsengisoli	0.8985	0.9050	0.01377	0.4720
Tenggerimyces flavus	0.8585	0.9053	0.01323	3.537
Kribbella flavida	0.9016	0.9050	0.01377	0.2469
Nocardioides dilutus	0.9068	0.9050	0.01378	0.1306
Nocardioides bigeumensis	0.9024	0.9050	0.01378	0.1887
Kribbella pittospori	0.8990	0.9050	0.01377	0.4357
Aeromicrobium choanae	0.9015	0.9050	0.01377	0.2542
Pimelobacter simplex	0.9161	0.9049	0.01375	0.8145
Marmoricola ginsengisoli	0.9057	0.9050	0.01378	0.05080
Marmoricola solisilvae	0.9074	0.9050	0.01378	0.1742
Flindersiella endophytica	0.8640	0.9053	0.01335	3.094
Nocardioides terrigena	0.9221	0.9049	0.01370	1.255
Nocardioides sediminis	0.8957	0.9050	0.01376	0.6759
Nocardioides panzhihuensis	0.9104	0.9049	0.01377	0.3994
Aeromicrobium erythreum	0.9045	0.9050	0.01378	0.03628
Nocardioides cavernae	0.9171	0.9049	0.01374	0.8879
Marmoricola bigeumensis	0.8972	0.9050	0.01376	0.5669
Nocardioides albidus	0.9099	0.9050	0.01377	0.3558
Marmoricola aurantiacus	0.9084	0.9050	0.01377	0.2469
Nocardioides dubius	0.9200	0.9049	0.01372	1.101
Nocardioides hankookensis	0.9194	0.9049	0.01373	1.056
Nocardioides marinquilinus	0.8913	0.9051	0.01373	1.005
Actinopolymorpha alba	0.8673	0.9052	0.01342	2.824
Aeromicrobium massiliense	0.9106	0.9049	0.01377	0.4139
Nocardioides daeguensis	0.9164	0.9049	0.01374	0.8370
Nocardioides ginsengisegetis	0.9188	0.9049	0.01373	1.012
Kribbella italica	0.9015	0.9050	0.01377	0.2542
Marmoricola korecus	0.9035	0.9050	0.01378	0.1089
Kribbella mirabilis	0.8948	0.9051	0.01375	0.7491
Nocardioides albus	0.9128	0.9049	0.01376	0.5741
Nocardioides jensenii	0.9164	0.9049	0.01374	0.8370
Nocardioides montaniterrae	0.9107	0.9049	0.01377	0.4212
Nocardioides koreensis	0.9207	0.9049	0.01372	1.152
Marmoricola pocheonensis	0.9017	0.9050	0.01377	0.2397
Kribbella sandramycini	0.8953	0.9051	0.01375	0.7127
Nocardioides daecheongensis	0.9178	0.9049	0.01374	0.9389
Nocardioides nitrophenolicus	0.9178	0.9049	0.01374	0.9389
Nocardioides antarcticus	0.9077	0.9050	0.01378	0.1959
Nocardioides conyzicola	0.9172	0.9049	0.01374	0.8952
Aeromicrobium fastidiosum	0.8986	0.9050	0.01377	0.4648
Kribbella karoonensis	0.8932	0.9051	0.01374	0.8661
Aeromicrobium flavum	0.8912	0.9051	0.01373	1.012
Nocardioides psychrotolerans	0.9173	0.9049	0.01374	0.9025
Nocardioides daejeonensis	0.9182	0.9049	0.01373	0.9687
Nocardioides kribbensis	0.9228	0.9049	0.01370	1.307
Nocardioides maradonensis	0.9142	0.9049	0.01376	0.6759
Nocardioides albertanoniae	0.9164	0.9049	0.01374	0.8370
Aeromicrobium ponti	0.8951	0.9051	0.01375	0.7273
Nocardioides caricicola	0.9131	0.9049	0.01376	0.5959
Nocardioides salsibiostraticola	0.9035	0.9050	0.01378	0.1089
Kribbella yunnanensis	0.8895	0.9051	0.01372	1.137
