Nocardiopsis lucentensis	0.9467	0.9338	0.01159	1.113
Nocardiopsis gilva	0.9352	0.9340	0.01169	0.1027
Nocardiopsis oceani	0.9384	0.9339	0.01168	0.3853
Nocardiopsis dassonvillei subsp. dassonvillei	0.9467	0.9338	0.01159	1.113
Spinactinospora alkalitolerans	0.9238	0.9341	0.01163	0.8856
Nocardiopsis litoralis	0.9292	0.9341	0.01168	0.4195
Thermobifida fusca	0.9175	0.9342	0.01151	1.451
Nocardiopsis ganjiahuensis	0.9384	0.9339	0.01168	0.3853
Nocardiopsis baichengensis	0.9365	0.9339	0.01169	0.2224
Nocardiopsis potens	0.9331	0.9340	0.01169	0.07699
Haloactinospora alba	0.9087	0.9344	0.01127	2.280
Nocardiopsis flavescens	0.9466	0.9338	0.01159	1.104
Streptomonospora salina	0.9316	0.9340	0.01169	0.2053
Streptomonospora halophila	0.9340	0.9340	0.01169	0E+1
Nocardiopsis xinjiangensis	0.9338	0.9340	0.01169	0.01711
Lipingzhangella halophila	0.9030	0.9345	0.01105	2.851
Streptomonospora amylolytica	0.9294	0.9341	0.01168	0.4024
Murinocardiopsis flavida	0.9259	0.9341	0.01165	0.7039
Nocardiopsis nanhaiensis	0.9416	0.9339	0.01166	0.6604
Streptomonospora flavalba	0.9302	0.9340	0.01169	0.3251
Streptomonospora arabica	0.9340	0.9340	0.01169	0E+1
Streptomonospora alba	0.9243	0.9341	0.01163	0.8426
Nocardiopsis aegyptia	0.9468	0.9338	0.01159	1.122
Thermobifida cellulosilytica	0.9187	0.9342	0.01154	1.343
Nocardiopsis synnemataformans	0.9469	0.9338	0.01158	1.131
Streptomonospora halotolerans	0.9367	0.9339	0.01169	0.2395
Nocardiopsis listeri	0.9419	0.9339	0.01165	0.6867
Nocardiopsis rhizosphaerae	0.9364	0.9340	0.01169	0.2053
Nocardiopsis dassonvillei subsp. albirubida	0.9481	0.9338	0.01156	1.237
Nocardiopsis salina	0.9330	0.9340	0.01169	0.08554
Nocardiopsis mwathae	0.9357	0.9340	0.01169	0.1454
Nocardiopsis chromatogenes	0.9258	0.9341	0.01165	0.7124
Allosalinactinospora lopnorensis	0.9027	0.9345	0.01103	2.883
Nocardiopsis trehalosi	0.9403	0.9339	0.01167	0.5484
Nocardiopsis sediminis	0.9410	0.9339	0.01166	0.6089
Nocardiopsis arvandica	0.9478	0.9338	0.01157	1.210
Nocardiopsis tropica	0.9377	0.9339	0.01169	0.3251
Nocardiopsis rhodophaea	0.9176	0.9342	0.01152	1.441
Nocardiopsis alba	0.9501	0.9337	0.01152	1.424
Thermobifida alba	0.9200	0.9342	0.01157	1.227
Nocardiopsis metallicus	0.9426	0.9339	0.01165	0.7468
Nocardiopsis nikkonensis	0.9438	0.9338	0.01163	0.8598
Nocardiopsis fildesensis	0.9400	0.9339	0.01167	0.5227
Actinorugispora endophytica	0.9291	0.9341	0.01168	0.4281
Thermobifida halotolerans	0.9230	0.9342	0.01162	0.9639
Nocardiopsis terrae	0.9432	0.9338	0.01164	0.8076
Nocardiopsis halotolerans	0.9454	0.9338	0.01161	0.9991
Nocardiopsis composta	0.9411	0.9339	0.01166	0.6175
Streptomonospora sediminis	0.9255	0.9341	0.01165	0.7382
Salinactinospora qingdaonensis	0.9000	0.9345	0.01091	3.162
Nocardiopsis akesuensis	0.9210	0.9342	0.01158	1.140
Nocardiopsis prasina	0.9483	0.9338	0.01156	1.254
Nocardiopsis coralliicola	0.9388	0.9339	0.01168	0.4195
Nocardiopsis valliformis	0.9423	0.9339	0.01165	0.7210
Nocardiopsis quinghaiensis	0.9319	0.9340	0.01169	0.1796
Marinactinospora thermotolerans	0.9332	0.9340	0.01169	0.06843
Nocardiopsis algeriensis	0.9489	0.9338	0.01155	1.307
Nocardiopsis kunsanensis	0.9283	0.9341	0.01167	0.4970
Nocardiopsis rosea	0.9391	0.9339	0.01168	0.4452
Nocardiopsis alkaliphila	0.9365	0.9339	0.01169	0.2224
Streptomonospora algeriensis	0.9319	0.9340	0.01169	0.1796
Streptomonospora tuzyakensis	0.9383	0.9339	0.01168	0.3767
Nocardiopsis halophila	0.9357	0.9340	0.01169	0.1454
Nocardiopsis sinuspersici	0.9506	0.9337	0.01151	1.468
Nocardiopsis ansamitocini	0.9343	0.9340	0.01169	0.02566
Nocardiopsis umidischolae	0.9489	0.9338	0.01155	1.307
Nocardiopsis exhalans	0.9196	0.9342	0.01156	1.263
