Marinospirillum alkaliphilum	0.8473	0.8736	0.01568	1.677
Marinomonas mangrovi	0.8902	0.8730	0.01586	1.084
Marinomonas mediterranea	0.8916	0.8730	0.01584	1.174
Marinomonas polaris	0.8826	0.8731	0.01596	0.5952
Marinomonas hwangdonensis	0.8812	0.8731	0.01597	0.5072
Marinomonas vaga	0.8830	0.8731	0.01595	0.6207
Marinomonas arctica	0.8767	0.8732	0.01599	0.2189
Marinomonas aquiplantarum	0.8860	0.8731	0.01592	0.8103
Marinomonas alcarazii	0.8937	0.8730	0.01580	1.310
Bacterioplanes sanyensis	0.8703	0.8733	0.01599	0.1876
Oleispira lenta	0.8609	0.8734	0.01593	0.7847
Reinekea marinisedimentorum	0.8408	0.8737	0.01550	2.123
Marinospirillum celere	0.8506	0.8736	0.01576	1.459
Bacterioplanoides pacificum	0.8682	0.8733	0.01598	0.3191
Amphritea ceti	0.8807	0.8732	0.01597	0.4696
Marinomonas communis	0.8956	0.8729	0.01577	1.439
Marinomonas pollencensis	0.8891	0.8730	0.01588	1.014
Neptunomonas naphthovorans	0.8697	0.8733	0.01599	0.2251
Marinomonas ostreistagni	0.8948	0.8729	0.01578	1.388
Marinomonas gallaica	0.8927	0.8730	0.01582	1.245
Corallomonas stylophorae	0.8655	0.8734	0.01597	0.4947
Neptuniibacter caesariensis	0.8805	0.8732	0.01597	0.4571
Marinospirillum minutulum	0.8469	0.8736	0.01567	1.704
Amphritea balenae	0.8785	0.8732	0.01598	0.3317
Marinomonas rhizomae	0.8870	0.8731	0.01591	0.8737
Marinomonas balearica	0.8924	0.8730	0.01583	1.226
Neptunomonas acidivorans	0.8798	0.8732	0.01598	0.4130
Oceaniserpentilla haliotis	0.8567	0.8735	0.01587	1.059
Marinomonas aquimarina	0.8915	0.8730	0.01584	1.168
Amphritea japonica	0.8775	0.8732	0.01599	0.2689
Amphritea spongicola	0.8700	0.8733	0.01599	0.2064
Pseudospirillum japonicum	0.8429	0.8737	0.01557	1.978
Neptunomonas qingdaonensis	0.8793	0.8732	0.01598	0.3817
Marinomonas ushuaiensis	0.8828	0.8731	0.01595	0.6082
Reinekea aestuarii	0.8570	0.8735	0.01587	1.040
Oceanospirillum beijerinckii	0.8688	0.8733	0.01599	0.2814
Neptunomonas antarctica	0.8829	0.8731	0.01595	0.6144
Nitrincola alkalisediminis	0.8647	0.8734	0.01596	0.5451
Neptunomonas concharum	0.8787	0.8732	0.01598	0.3442
Oceanospirillum multiglobuliferum	0.8663	0.8734	0.01597	0.4446
Marinomonas blandensis	0.8925	0.8730	0.01583	1.232
Marinomonas arenicola	0.8927	0.8730	0.01582	1.245
Oceanobacter kriegii	0.8674	0.8733	0.01598	0.3692
Marinomonas pontica	0.8949	0.8729	0.01578	1.394
Nitrincola lacisaponensis	0.8419	0.8737	0.01554	2.046
Oceanospirillum maris	0.8626	0.8734	0.01594	0.6775
Marinomonas primoryensis	0.8798	0.8732	0.01598	0.4130
Neptunomonas japonica	0.8764	0.8732	0.01599	0.2001
Marinomonas foliarum	0.8837	0.8731	0.01595	0.6646
Neptunomonas phycophila	0.8687	0.8733	0.01599	0.2877
Neptuniibacter halophilus	0.8600	0.8735	0.01592	0.8480
Marinomonas dokdonensis	0.8843	0.8731	0.01594	0.7026
Marinospirillum megaterium	0.8459	0.8737	0.01565	1.776
Motiliproteus sediminis	0.8693	0.8733	0.01599	0.2502
Reinekea blandensis	0.8586	0.8735	0.01590	0.9371
Bermanella marisrubri	0.8647	0.8734	0.01596	0.5451
Reinekea marina	0.8503	0.8736	0.01575	1.479
Marinomonas spartinae	0.8740	0.8732	0.01600	0.05
Thalassolituus marinus	0.8820	0.8731	0.01596	0.5576
Marinomonas atlantica	0.9005	0.8729	0.01565	1.764
Marinomonas profundimaris	0.8812	0.8731	0.01597	0.5072
Terasakiispira papahanaumokuakeensis	0.8403	0.8737	0.01549	2.156
Marinospirillum insulare	0.8412	0.8737	0.01552	2.094
Marinomonas fungiae	0.8969	0.8729	0.01574	1.525
Amphritea atlantica	0.8684	0.8733	0.01599	0.3064
Oleibacter marinus	0.8780	0.8732	0.01599	0.3002
Marinomonas posidonica	0.8801	0.8732	0.01598	0.4318
Oleispira antarctica	0.8593	0.8735	0.01591	0.8925
Marinomonas brasilensis	0.8777	0.8732	0.01599	0.2814
Thalassolituus oleivorans	0.8594	0.8735	0.01591	0.8862
