Massilia psychrophila	0.9235	0.9257	0.00890	0.2472
Herminiimonas arsenicoxydans	0.9350	0.9256	0.008849	1.062
Glaciimonas frigoris	0.9205	0.9257	0.008887	0.5851
Janthinobacterium agaricidamnosum	0.9374	0.9255	0.008818	1.350
Herminiimonas aquatilis	0.9330	0.9256	0.00887	0.8343
Noviherbaspirillum massiliense	0.9242	0.9257	0.008902	0.1685
Massilia violacea	0.9312	0.9256	0.008884	0.6303
Herbaspirillum rhizosphaerae	0.9333	0.9256	0.008867	0.8684
Pseudoduganella danionis	0.9312	0.9256	0.008884	0.6303
Herbaspirillum seropedicae	0.9360	0.9255	0.008837	1.188
Noviherbaspirillum autotrophicum	0.9218	0.9257	0.008894	0.4385
Massilia lutea	0.9276	0.9256	0.008901	0.2247
Collimonas pratensis	0.9286	0.9256	0.008898	0.3372
Massilia timonae	0.9244	0.9257	0.008902	0.1460
Herbaspirillum huttiense subsp. putei	0.9321	0.9256	0.008878	0.7321
Massilia aurea	0.9223	0.9257	0.008896	0.3822
Undibacterium terreum	0.9280	0.9256	0.00890	0.2697
Massilia suwonensis	0.9315	0.9256	0.008882	0.6643
Undibacterium arcticum	0.9285	0.9256	0.008898	0.3259
Duganella zoogloeoides	0.9319	0.9256	0.008879	0.7095
Massilia yuzhufengensis	0.9235	0.9257	0.00890	0.2472
Herbaspirillum autotrophicum	0.9329	0.9256	0.008871	0.8229
Glaciimonas alpina	0.9204	0.9257	0.008886	0.5964
Undibacterium pigrum	0.9243	0.9257	0.008902	0.1573
Undibacterium parvum	0.9166	0.9258	0.008853	1.039
Undibacterium seohonense	0.9185	0.9257	0.008872	0.8115
Massilia consociata	0.9295	0.9256	0.008894	0.4385
Noviherbaspirillum aurantiacum	0.9365	0.9255	0.008831	1.246
Massilia flava	0.9304	0.9256	0.008889	0.5400
Herbaspirillum chlorophenolicum	0.9333	0.9256	0.008867	0.8684
Collimonas arenae	0.9295	0.9256	0.008894	0.4385
Herbaspirillum hiltneri	0.9284	0.9256	0.008898	0.3147
Massilia albidiflava	0.9288	0.9256	0.008897	0.3597
Massilia haematophila	0.9278	0.9256	0.00890	0.2472
Undibacterium danionis	0.9085	0.9258	0.008721	1.984
Pseudoduganella violaceinigra	0.9247	0.9257	0.008902	0.1123
Massilia eurypsychrophila	0.9230	0.9257	0.008899	0.3034
Massilia alkalitolerans	0.9113	0.9258	0.008776	1.652
Massilia jejuensis	0.9284	0.9256	0.008898	0.3147
Massilia plicata	0.9243	0.9257	0.008902	0.1573
Duganella ginsengisoli	0.9249	0.9257	0.008903	0.08986
Massilia oculi	0.9235	0.9257	0.00890	0.2472
Oxalobacter vibrioformis	0.9052	0.9259	0.008644	2.395
Noviherbaspirillum denitrificans	0.9184	0.9257	0.008871	0.8229
Noviherbaspirillum canariense	0.9336	0.9256	0.008864	0.9025
Massilia arvi	0.9286	0.9256	0.008898	0.3372
Herbaspirillum aquaticum	0.9369	0.9255	0.008825	1.292
Undibacterium jejuense	0.9298	0.9256	0.008892	0.4723
Undibacterium oligocarboniphilum	0.9224	0.9257	0.008896	0.3710
Telluria chitinolytica	0.8993	0.9259	0.008468	3.141
Noviherbaspirillum malthae	0.9137	0.9258	0.008815	1.373
Paraherbaspirillum soli	0.9352	0.9256	0.008847	1.085
Massilia niastensis	0.9349	0.9256	0.008851	1.051
Herminiimonas contaminans	0.9383	0.9255	0.008805	1.454
Glaciimonas singularis	0.9341	0.9256	0.008859	0.9595
Massilia varians	0.9246	0.9257	0.008902	0.1236
Glaciimonas immobilis	0.9240	0.9257	0.008901	0.1910
Noviherbaspirillum psychrotolerans	0.9312	0.9256	0.008884	0.6303
Noviherbaspirillum soli	0.9337	0.9256	0.008863	0.9139
Herbaspirillum huttiense subsp. huttiense	0.9316	0.9256	0.008881	0.6756
Telluria mixta	0.8988	0.9259	0.008451	3.207
Oxalicibacterium solurbis	0.9309	0.9256	0.008886	0.5964
Noviherbaspirillum suwonense	0.9314	0.9256	0.008883	0.6529
Noviherbaspirillum humi	0.9025	0.9259	0.008569	2.731
Janthinobacterium lividum	0.9374	0.9255	0.008818	1.350
Herminiimonas fonticola	0.9333	0.9256	0.008867	0.8684
Herminiimonas saxobsidens	0.9377	0.9255	0.008814	1.384
Massilia lurida	0.9279	0.9256	0.00890	0.2584
Oxalicibacterium faecigallinarum	0.9258	0.9257	0.008903	0.01123
Massilia tieshanensis	0.9326	0.9256	0.008873	0.7889
Massilia norwichensis	0.9323	0.9256	0.008876	0.7548
Massilia brevitalea	0.9257	0.9257	0.008903	0E+2
Duganella phyllosphaerae	0.9307	0.9256	0.008887	0.5739
Undibacterium squillarum	0.9181	0.9257	0.008868	0.8570
Undibacterium aquatile	0.9214	0.9257	0.008892	0.4836
Duganella sacchari	0.9283	0.9256	0.008899	0.3034
Herbaspirillum frisingense	0.9307	0.9256	0.008887	0.5739
Herbaspirillum lusitanum	0.9282	0.9256	0.008899	0.2922
Collimonas fungivorans	0.9249	0.9257	0.008903	0.08986
Massilia putida	0.9314	0.9256	0.008883	0.6529
Herbaspirillum rubrisubalbicans	0.9279	0.9256	0.00890	0.2584
Massilia niabensis	0.9273	0.9256	0.008901	0.1910
Oxalicibacterium horti	0.9208	0.9257	0.008888	0.5513
Massilia pinisoli	0.9292	0.9256	0.008895	0.4047
Massilia aerilata	0.9214	0.9257	0.008892	0.4836
Noviherbaspirillum agri	0.9121	0.9258	0.00879	1.559
Herminiimonas glaciei	0.9265	0.9257	0.008902	0.08987
Massilia umbonata	0.9303	0.9256	0.00889	0.5287
Massilia kyonggiensis	0.9157	0.9258	0.008842	1.142
Massilia namucuonensis	0.9188	0.9257	0.008874	0.7776
Massilia dura	0.9220	0.9257	0.008895	0.4160
Oxalobacter formigenes	0.8941	0.9260	0.008273	3.856
Oxalicibacterium flavum	0.9151	0.9258	0.008835	1.211
Duganella radicis	0.9143	0.9258	0.008824	1.303
