Actinobacillus porcinus	0.9194	0.8990	0.01494	1.365
Gallibacterium trehalosifermentans	0.8737	0.8995	0.01485	1.737
Actinobacillus scotiae	0.8923	0.8993	0.01509	0.4639
Ursidibacter arcticus	0.8686	0.8996	0.01473	2.105
Haemophilus sputorum	0.9157	0.8990	0.01500	1.113
Mannheimia varigena	0.9154	0.8990	0.01500	1.093
Avibacterium avium	0.9072	0.8991	0.01508	0.5371
Rodentibacter pneumotropicus	0.9017	0.8992	0.0151	0.1656
Chelonobacter oris	0.8598	0.8997	0.01447	2.757
Actinobacillus hominis	0.9145	0.8990	0.01501	1.033
Haemophilus parasuis	0.9155	0.8990	0.01500	1.1
Pasteurella mairii	0.9051	0.8991	0.01509	0.3976
Mannheimia ruminalis	0.9158	0.8990	0.01500	1.12
Aggregatibacter actinomycetemcomitans	0.8915	0.8993	0.01508	0.5172
Actinobacillus minor	0.9200	0.8990	0.01493	1.407
Haemophilus aegyptius	0.9106	0.8991	0.01506	0.7636
Haemophilus paraphrohaemolyticus	0.9004	0.8992	0.01511	0.07942
Actinobacillus capsulatus	0.9111	0.8991	0.01505	0.7973
Bibersteinia trehalosi	0.9145	0.8990	0.01501	1.033
Actinobacillus suis	0.9087	0.8991	0.01507	0.6370
Cricetibacter osteomyelitidis	0.9075	0.8991	0.01508	0.5570
Haemophilus felis	0.9199	0.8990	0.01494	1.399
Pasteurella oralis	0.9018	0.8992	0.01510	0.1722
Actinobacillus seminis	0.8989	0.8992	0.01511	0.01985
Haemophilus pittmaniae	0.9129	0.8990	0.01503	0.9248
Actinobacillus equuli subsp. haemolyticus	0.9135	0.8990	0.01503	0.9647
Pasteurella aerogenes	0.9029	0.8992	0.0151	0.2450
Pasteurella multocida subsp. gallicida	0.9120	0.8990	0.01504	0.8644
Haemophilus ducreyi	0.8943	0.8993	0.0151	0.3311
Pasteurella bettyae	0.9057	0.8991	0.01509	0.4374
Aggregatibacter aphrophilus	0.9029	0.8992	0.0151	0.2450
Lonepinella koalarum	0.8910	0.8993	0.01508	0.5504
Actinobacillus succinogenes	0.9015	0.8992	0.01510	0.1523
Haemophilus parainfluenzae	0.9108	0.8991	0.01505	0.7774
Muribacter muris	0.9078	0.8991	0.01508	0.5769
Mannheimia caviae	0.8970	0.8992	0.01511	0.1456
Mesocricetibacter intestinalis	0.8969	0.8992	0.01510	0.1523
Haemophilus paracuniculus	0.9063	0.8991	0.01509	0.4771
Actinobacillus pleuropneumoniae	0.9038	0.8991	0.0151	0.3113
Mannheimia granulomatis	0.9071	0.8991	0.01508	0.5305
Testudinibacter aquarius	0.8476	0.8998	0.01401	3.726
Volucribacter psittacicida	0.8818	0.8994	0.01499	1.174
Avibacterium paragallinarum	0.9055	0.8991	0.01509	0.4241
Otariodibacter oris	0.8846	0.8994	0.01502	0.9854
Actinobacillus arthritidis	0.9104	0.8991	0.01506	0.7503
Vespertiliibacter pulmonis	0.8993	0.8992	0.01511	0.006618
Haemophilus haemoglobinophilus	0.9142	0.8990	0.01502	1.012
Pasteurella dagmatis	0.9118	0.8991	0.01504	0.8444
Bisgaardia miroungae	0.8785	0.8994	0.01494	1.399
Mannheimia haemolytica	0.9051	0.8991	0.01509	0.3976
Actinobacillus rossii	0.9138	0.8990	0.01502	0.9854
Actinobacillus anseriformium	0.9071	0.8991	0.01508	0.5305
Pasteurella canis	0.9110	0.8991	0.01505	0.7907
Pasteurella caecimuris	0.9032	0.8992	0.01510	0.2649
Pasteurella stomatis	0.9109	0.8991	0.01505	0.7841
Gallibacterium salpingitidis	0.8918	0.8993	0.01509	0.4970
Actinobacillus indolicus	0.9102	0.8991	0.01506	0.7371
Basfia succiniciproducens	0.8997	0.8992	0.01511	0.03309
Bisgaardia hudsonensis	0.8994	0.8992	0.01511	0.01324
Frederiksenia canicola	0.9039	0.8991	0.01510	0.3179
Avibacterium gallinarum	0.9042	0.8991	0.01510	0.3377
Volucribacter amazonae	0.8742	0.8995	0.01486	1.703
Necropsobacter rosorum	0.8956	0.8992	0.01510	0.2384
Pasteurella multocida subsp. septica	0.9071	0.8991	0.01508	0.5305
Haemophilus influenzae	0.9058	0.8991	0.01509	0.4440
Actinobacillus lignieresii	0.9032	0.8992	0.01510	0.2649
Phocoenobacter uteri	0.8918	0.8993	0.01509	0.4970
Mannheimia glucosida	0.9035	0.8992	0.01510	0.2848
Ursidibacter maritimus	0.8962	0.8992	0.01510	0.1987
Nicoletella semolina	0.8970	0.8992	0.01511	0.1456
Seminibacterium arietis	0.8661	0.8996	0.01466	2.285
Rodentibacter ratti	0.9021	0.8992	0.01510	0.1921
Pasteurella caballi	0.9009	0.8992	0.01511	0.1125
Pasteurella skyensis	0.8779	0.8995	0.01492	1.448
Gallibacterium anatis	0.8808	0.8994	0.01497	1.242
Pasteurella testudinis	0.8643	0.8996	0.01461	2.416
Actinobacillus delphinicola	0.8965	0.8992	0.01510	0.1788
Rodentibacter rarus	0.8976	0.8992	0.01511	0.1059
Pasteurella multocida subsp. multocida	0.8998	0.8992	0.01511	0.03971
Avibacterium volantium	0.8948	0.8993	0.01510	0.2980
Actinobacillus equuli subsp. equuli	0.9093	0.8991	0.01507	0.6768
Gallibacterium melopsittaci	0.8749	0.8995	0.01487	1.654
Pasteurella langaaensis	0.8786	0.8994	0.01494	1.392
Histophilus somni	0.8619	0.8996	0.01454	2.593
Actinobacillus ureae	0.9022	0.8992	0.01510	0.1987
