Brenneria roseae subsp. roseae	0.9460	0.9380	0.008233	0.9717
Brenneria alni	0.9318	0.9385	0.008273	0.8099
Pectobacterium atrosepticum	0.9442	0.9380	0.008286	0.7483
Pectobacterium aroidearum	0.9352	0.9384	0.008342	0.3836
Pectobacterium carotovorum subsp. odoriferum	0.9412	0.9382	0.008344	0.3595
Dickeya zeae	0.9401	0.9382	0.008355	0.2274
Pectobacterium parmentieri	0.9450	0.9380	0.008264	0.8470
Brenneria populi	0.9247	0.9387	0.007961	1.759
Brenneria salicis	0.9362	0.9383	0.008353	0.2514
Dickeya fangzhongdai	0.9450	0.9380	0.008264	0.8470
Pectobacterium cacticida	0.9324	0.9385	0.008289	0.7359
Brenneria goodwinii	0.9481	0.9379	0.008153	1.251
Dickeya solani	0.9519	0.9378	0.007955	1.772
Dickeya paradisiaca	0.9369	0.9383	0.008358	0.1675
Pectobacterium betavasculorum	0.9370	0.9383	0.008359	0.1555
Sodalis glossinidius	0.9204	0.9389	0.007652	2.418
Dickeya chrysanthemi	0.9440	0.9381	0.008291	0.7116
Dickeya dadantii subsp. dieffenbachiae	0.9320	0.9385	0.008278	0.7852
Lonsdalea quercina subsp. iberica	0.9466	0.9380	0.008212	1.047
Brenneria nigrifluens	0.9317	0.9385	0.00827	0.8222
Lonsdalea quercina subsp. populi	0.9250	0.9387	0.007979	1.717
Brenneria rubrifaciens	0.9331	0.9384	0.008305	0.6382
Lonsdalea quercina subsp. britannica	0.9382	0.9383	0.008362	0.01196
Pectobacterium wasabiae	0.9388	0.9382	0.008362	0.07175
Dickeya dianthicola	0.9494	0.9379	0.008093	1.421
Sodalis praecaptivus	0.9328	0.9384	0.008298	0.6749
Brenneria roseae subsp. americana	0.9466	0.9380	0.008212	1.047
Pectobacterium carotovorum subsp. carotovorum	0.9411	0.9382	0.008345	0.3475
Lonsdalea quercina subsp. quercina	0.9234	0.9388	0.007878	1.955
Dickeya aquatica	0.9488	0.9379	0.008121	1.342
