Desulfotomaculum acetoxidans	0.7933	0.8128	0.01982	0.9839
Desulfosporosinus acididurans	0.8243	0.8124	0.01991	0.5977
Thermincola carboxydiphila	0.8090	0.8126	0.01995	0.1805
Peptococcus niger	0.7718	0.8132	0.01931	2.144
Desulfotomaculum thermosubterraneum	0.7652	0.8133	0.01908	2.521
Pelotomaculum isophthalicicum	0.8324	0.8122	0.01981	1.020
Desulfitobacterium hafniense	0.8338	0.8122	0.01978	1.092
Desulfotomaculum geothermicum	0.8101	0.8126	0.01996	0.1253
Desulfotomaculum halophilum	0.8103	0.8126	0.01996	0.1152
Pelotomaculum thermopropionicum	0.8122	0.8125	0.01996	0.01503
Desulfotomaculum profundi	0.7998	0.8127	0.01990	0.6482
Desulfotomaculum thermoacetoxidans	0.7941	0.8128	0.01983	0.9430
Desulfotomaculum nigrificans	0.8140	0.8125	0.01996	0.07515
Desulfosporosinus acidiphilus	0.8347	0.8122	0.01977	1.138
Sporotomaculum hydroxybenzoicum	0.8149	0.8125	0.01996	0.1202
Desulfotomaculum thermocisternum	0.8229	0.8124	0.01992	0.5271
Desulfosporosinus youngiae	0.8267	0.8123	0.01988	0.7243
Desulfitobacterium aromaticivorans	0.8159	0.8125	0.01995	0.1704
Desulfitispora alkaliphila	0.7893	0.8129	0.01975	1.195
Desulfosporosinus orientis	0.8304	0.8123	0.01984	0.9123
Desulfosporosinus auripigmenti	0.8315	0.8123	0.01982	0.9687
Desulfosporosinus meridiei	0.8223	0.8124	0.01992	0.4970
Desulfotomaculum varum	0.8267	0.8123	0.01988	0.7243
Desulfotomaculum thermosapovorans	0.8218	0.8124	0.01993	0.4717
Desulfotomaculum kuznetsovii	0.7943	0.8128	0.01983	0.9329
Syntrophobotulus glycolicus	0.8107	0.8126	0.01996	0.09519
Desulfitispora elongata	0.7828	0.8130	0.01962	1.539
Desulfosporosinus fructosivorans	0.8233	0.8124	0.01991	0.5475
Desulfotomaculum alcoholivorax	0.8293	0.8123	0.01985	0.8564
Desulfotomaculum ferrireducens	0.8163	0.8125	0.01995	0.1905
Desulfitobacterium chlororespirans	0.8193	0.8124	0.01994	0.3460
Desulfotomaculum peckii	0.8170	0.8125	0.01995	0.2256
Peptococcus simiae	0.7678	0.8132	0.01917	2.368
Desulfotomaculum reducens	0.8376	0.8122	0.01972	1.288
Desulfosporosinus nitroreducens	0.8158	0.8125	0.01995	0.1654
Desulfotomaculum gibsoniae	0.8157	0.8125	0.01996	0.1603
Pelotomaculum schinkii	0.8318	0.8122	0.01982	0.9889
Desulfotomaculum sapomandens	0.8186	0.8124	0.01994	0.3109
Pelotomaculum propionicicum	0.8152	0.8125	0.01996	0.1353
Desulfosporosinus burensis	0.8059	0.8126	0.01994	0.3360
Desulfotomaculum aeronauticum	0.8306	0.8123	0.01983	0.9228
Desulfotomaculum australicum	0.8028	0.8127	0.01992	0.4970
Desulfotomaculum intricatum	0.7885	0.8129	0.01973	1.237
Desulfotomaculum thermobenzoicum subsp. thermosyntrophicum	0.8086	0.8126	0.01995	0.2005
Desulfosporosinus hippei	0.8007	0.8127	0.01990	0.6030
Sporotomaculum syntrophicum	0.7928	0.8128	0.01981	1.010
Desulfotomaculum alkaliphilum	0.8125	0.8125	0.01996	0E+1
Desulfotomaculum hydrothermale	0.8409	0.8121	0.01965	1.466
Thermincola ferriacetica	0.7987	0.8128	0.01988	0.7093
Desulfotomaculum thermobenzoicum subsp. thermobenzoicum	0.8032	0.8127	0.01993	0.4767
Desulfotomaculum guttoideum	0.7501	0.8135	0.01840	3.446
Desulfotomaculum aquiferis	0.8431	0.8121	0.01960	1.582
Desulfotomaculum tongense	0.8313	0.8123	0.01982	0.9586
Desulfitibacter alkalitolerans	0.7907	0.8129	0.01977	1.123
Desulfitobacterium dehalogenans	0.8173	0.8125	0.01995	0.2406
Desulfotomaculum putei	0.8471	0.8120	0.01949	1.801
Cryptanaerobacter phenolicus	0.8358	0.8122	0.01975	1.195
Desulfitobacterium metallireducens	0.8203	0.8124	0.01994	0.3962
Desulfotomaculum solfataricum	0.8174	0.8125	0.01995	0.2456
Desulfotomaculum carboxydivorans	0.8393	0.8121	0.01968	1.382
Desulfotomaculum defluvii	0.8246	0.8124	0.01990	0.6131
Desulfosporosinus lacus	0.8230	0.8124	0.01992	0.5321
Desulfotomaculum arcticum	0.8248	0.8124	0.01990	0.6231
Pelotomaculum terephthalicicum	0.8196	0.8124	0.01994	0.3611
Desulfurispora thermophila	0.7775	0.8131	0.01948	1.828
Desulfotomaculum ruminis	0.7865	0.8129	0.01970	1.340
Desulfonispora thiosulfatigenes	0.8037	0.8127	0.01993	0.4516
