Peptoniphilus stercorisuis	0.8481	0.8610	0.03028	0.4260
Peptoniphilus coxii	0.8433	0.8614	0.03011	0.6011
Peptoniphilus lacrimalis	0.8654	0.8599	0.03042	0.1808
Peptoniphilus koenoeneniae	0.8598	0.8603	0.03045	0.01642
Peptoniphilus duerdenii	0.8500	0.8609	0.03033	0.3594
Ezakiella peruensis	0.7863	0.8652	0.02320	3.401
Peptoniphilus olsenii	0.8677	0.8597	0.03038	0.2633
Peptoniphilus catoniae	0.8420	0.8615	0.03006	0.6487
Peptoniphilus methioninivorax	0.8507	0.8609	0.03034	0.3362
Peptoniphilus tyrrelliae	0.9105	0.8569	0.02734	1.960
Peptoniphilus timonensis	0.8899	0.8583	0.0294	1.075
Peptoniphilus senegalensis	0.8891	0.8583	0.02946	1.045
Peptoniphilus ivorii	0.8365	0.8618	0.02978	0.8496
Peptoniphilus gorbachii	0.8830	0.8587	0.02984	0.8143
Peptoniphilus indolicus	0.9012	0.8575	0.02842	1.538
Peptoniphilus asaccharolyticus	0.8403	0.8616	0.02998	0.7105
