Mesorhizobium chacoense	0.9491	0.9369	0.01717	0.7105
Mesorhizobium caraganae	0.9505	0.9369	0.01716	0.7925
Aquamicrobium aerolatum	0.9308	0.9371	0.01720	0.3663
Mesorhizobium soli	0.9367	0.9370	0.01722	0.01742
Mesorhizobium hawassense	0.9434	0.9369	0.01720	0.3779
Aminobacter aganoensis	0.9423	0.9369	0.01721	0.3138
Mesorhizobium shonense	0.9498	0.9369	0.01716	0.7517
Mesorhizobium loti	0.9516	0.9368	0.01715	0.8630
Pseudahrensia aquimaris	0.9057	0.9373	0.01690	1.870
Mesorhizobium shangrilense	0.9537	0.9368	0.01713	0.9866
Mesorhizobium kowhaii	0.9518	0.9368	0.01715	0.8746
Aquamicrobium terrae	0.9360	0.9370	0.01722	0.05807
Mesorhizobium abyssinicae	0.9495	0.9369	0.01717	0.7338
Phyllobacterium brassicacearum	0.9346	0.9370	0.01721	0.1395
Pseudohoeflea suaedae	0.9275	0.9371	0.01719	0.5585
Nitratireductor indicus	0.9320	0.9371	0.01721	0.2963
Mesorhizobium australicum	0.9501	0.9369	0.01716	0.7692
Aquamicrobium defluvii	0.9346	0.9370	0.01721	0.1395
Mesorhizobium ciceri	0.9494	0.9369	0.01717	0.7280
Pseudaminobacter manganicus	0.9353	0.9370	0.01721	0.09878
Phyllobacterium myrsinacearum	0.9393	0.9370	0.01721	0.1336
Phyllobacterium bourgognense	0.9327	0.9370	0.01721	0.2499
Nitratireductor basaltis	0.9210	0.9372	0.01713	0.9457
Thalassocola ureilytica	0.8638	0.9378	0.01543	4.796
Corticibacterium populi	0.9272	0.9371	0.01719	0.5759
Mesorhizobium mediterraneum	0.9516	0.9368	0.01715	0.8630
Hoeflea phototrophica	0.9196	0.9372	0.01712	1.028
Nitratireductor lacus	0.8712	0.9377	0.01579	4.212
Mesorhizobium qingshengii	0.9574	0.9368	0.01708	1.206
Mesorhizobium alhagi	0.9396	0.9370	0.01721	0.1511
Hoeflea olei	0.9248	0.9371	0.01717	0.7164
Hoeflea anabaenae	0.9277	0.9371	0.01719	0.5468
Mesorhizobium cantuariense	0.9526	0.9368	0.01714	0.9218
Mesorhizobium plurifarium	0.9535	0.9368	0.01713	0.9749
Mesorhizobium silamurunense	0.9532	0.9368	0.01713	0.9574
Mesorhizobium waimense	0.9571	0.9368	0.01709	1.188
Mesorhizobium huakuii	0.9504	0.9369	0.01716	0.7867
Mesorhizobium thiogangeticum	0.9368	0.9370	0.01722	0.01161
Mesorhizobium tamadayense	0.9538	0.9368	0.01713	0.9924
Nitratireductor aquibiodomus	0.9218	0.9372	0.01714	0.8985
Phyllobacterium trifolii	0.9328	0.9370	0.01721	0.2440
Aminobacter anthyllidis	0.9414	0.9370	0.01721	0.2557
Pseudahrensia todarodis	0.9016	0.9374	0.01682	2.128
Aquamicrobium segne	0.9279	0.9371	0.01719	0.5352
Pseudaminobacter salicylatoxidans	0.9319	0.9371	0.01721	0.3021
Nitratireductor aquimarinus	0.9173	0.9372	0.01709	1.164
Phyllobacterium loti	0.9258	0.9371	0.01718	0.6577
Mesorhizobium septentrionale	0.9520	0.9368	0.01714	0.8868
Aquamicrobium ahrensii	0.9391	0.9370	0.01721	0.1220
Chelativorans intermedius	0.9282	0.9371	0.01719	0.5177
Mesorhizobium albiziae	0.9204	0.9372	0.01713	0.9807
Mesorhizobium tarimense	0.9539	0.9368	0.01713	0.9982
Mesorhizobium muleiense	0.9526	0.9368	0.01714	0.9218
Phyllobacterium leguminum	0.9277	0.9371	0.01719	0.5468
Mesorhizobium camelthorni	0.9401	0.9370	0.01721	0.1801
Mesorhizobium sophorae	0.9531	0.9368	0.01713	0.9515
Chelativorans oligotrophicus	0.9188	0.9372	0.01711	1.075
Mesorhizobium jarvisii	0.9548	0.9368	0.01712	1.051
Nitratireductor pacificus	0.9384	0.9370	0.01721	0.08135
Mesorhizobium acaciae	0.9513	0.9368	0.01715	0.8455
Hoeflea marina	0.9225	0.9372	0.01715	0.8571
Aminobacter aminovorans	0.9447	0.9369	0.01720	0.4535
Lentilitoribacter donghaensis	0.8969	0.9374	0.01670	2.425
Mesorhizobium waitakense	0.9551	0.9368	0.01711	1.070
