Planomicrobium okeanokoites	0.9251	0.9082	0.01226	1.378
Filibacter limicola	0.9157	0.9084	0.01240	0.5887
Sporosarcina soli	0.9225	0.9083	0.01231	1.154
Chryseomicrobium aureum	0.9137	0.9084	0.01242	0.4267
Sporosarcina contaminans	0.9215	0.9083	0.01233	1.071
Jeotgalibacillus alkaliphilus	0.9085	0.9085	0.01243	0E+1
Planococcus versutus	0.9252	0.9082	0.01226	1.387
Kurthia senegalensis	0.8891	0.9088	0.01220	1.615
Ureibacillus terrenus	0.8847	0.9088	0.01208	1.995
Sporosarcina siberiensis	0.9092	0.9085	0.01243	0.05632
Jeotgalibacillus campisalis	0.9074	0.9085	0.01243	0.08850
Bhargavaea ullalensis	0.9066	0.9085	0.01243	0.1529
Planococcus maitriensis	0.9210	0.9083	0.01234	1.029
Planococcus faecalis	0.9123	0.9084	0.01242	0.3140
Sporosarcina newyorkensis	0.9185	0.9083	0.01237	0.8246
Planococcus maritimus	0.9301	0.9082	0.01215	1.802
Jeotgalibacillus alimentarius	0.9073	0.9085	0.01243	0.09654
Planomicrobium stackebrandtii	0.9078	0.9085	0.01243	0.05632
Planococcus plakortidis	0.9239	0.9082	0.01229	1.277
Paenisporosarcina macmurdoensis	0.9119	0.9084	0.01243	0.2816
Paenisporosarcina indica	0.9198	0.9083	0.01235	0.9312
Chryseomicrobium imtechense	0.9130	0.9084	0.01242	0.3704
Caryophanon tenue	0.8918	0.9087	0.01226	1.378
Ureibacillus composti	0.8980	0.9086	0.01237	0.8569
Sporosarcina globispora	0.9126	0.9084	0.01242	0.3382
Planomicrobium koreense	0.9284	0.9082	0.01219	1.657
Sporosarcina luteola	0.9213	0.9083	0.01233	1.054
Bhargavaea cecembensis	0.9063	0.9085	0.01243	0.1770
Planococcus rifietoensis	0.9314	0.9081	0.01211	1.924
Paenisporosarcina antarctica	0.9101	0.9085	0.01243	0.1287
Savagea faecisuis	0.8905	0.9087	0.01223	1.488
Planomicrobium glaciei	0.9174	0.9083	0.01238	0.7351
Chryseomicrobium amylolyticum	0.9103	0.9084	0.01243	0.1529
Planomicrobium flavidum	0.9211	0.9083	0.01234	1.037
Caryophanon latum	0.8900	0.9088	0.01222	1.538
Kurthia populi	0.8920	0.9087	0.01227	1.361
Sporosarcina aquimarina	0.9110	0.9084	0.01243	0.2092
Planomicrobium mcmeekinii	0.9218	0.9083	0.01232	1.096
Planococcus kocurii	0.9124	0.9084	0.01242	0.3221
Planococcus donghaensis	0.9216	0.9083	0.01233	1.079
Planococcus columbae	0.9104	0.9084	0.01243	0.1609
Planomicrobium psychrophilum	0.9190	0.9083	0.01237	0.8650
Planococcus citreus	0.9114	0.9084	0.01243	0.2414
Planomicrobium alkanoclasticum	0.9070	0.9085	0.01243	0.1207
Sporosarcina ureae	0.9109	0.9084	0.01243	0.2011
Ureibacillus thermosphaericus	0.8959	0.9087	0.01234	1.037
Planococcus halocryophilus	0.9199	0.9083	0.01235	0.9393
Planomicrobium soli	0.9103	0.9084	0.01243	0.1529
Jeotgalibacillus terrae	0.9051	0.9085	0.01243	0.2735
Ureibacillus defluvii	0.8924	0.9087	0.01227	1.328
Planomicrobium chinense	0.9114	0.9084	0.01243	0.2414
Kurthia zopfii	0.8953	0.9087	0.01233	1.087
Kurthia gibsonii	0.8985	0.9086	0.01237	0.8165
Sporosarcina saromensis	0.9153	0.9084	0.01240	0.5565
Paenisporosarcina quisquiliarum	0.9102	0.9085	0.01243	0.1368
Sporosarcina pasteurii	0.8852	0.9088	0.01210	1.950
Chryseomicrobium palamuruense	0.9101	0.9085	0.01243	0.1287
Sporosarcina koreensis	0.9094	0.9085	0.01243	0.07241
Jeotgalibacillus marinus	0.9115	0.9084	0.01243	0.2494
Planococcus antarcticus	0.9064	0.9085	0.01243	0.1689
Kurthia sibirica	0.8924	0.9087	0.01227	1.328
Ureibacillus suwonensis	0.8901	0.9088	0.01223	1.529
Ureibacillus thermophilus	0.8770	0.9089	0.01181	2.701
Jeotgalibacillus malaysiensis	0.9145	0.9084	0.01241	0.4915
Sporosarcina psychrophila	0.8968	0.9087	0.01235	0.9636
Planococcus salinarum	0.8990	0.9086	0.01238	0.7754
Jeotgalibacillus soli	0.9078	0.9085	0.01243	0.05632
Jeotgalibacillus salarius	0.8804	0.9089	0.01194	2.387
