Parabacteroides chinchillae	0.8307	0.8124	0.01935	0.9457
Porphyromonas gingivalis	0.8129	0.8128	0.01952	0.005123
Dysgonomonas gadei	0.8296	0.8124	0.01937	0.8880
Parabacteroides faecis	0.8267	0.8125	0.01942	0.7312
Porphyromonas endodontalis	0.8059	0.8129	0.01949	0.3592
Porphyromonas circumdentaria	0.7975	0.8131	0.01940	0.8041
Porphyromonas crevioricanis	0.8114	0.8128	0.01952	0.07172
Porphyromonas somerae	0.8055	0.8129	0.01949	0.3797
Porphyromonas pasteri	0.8229	0.8126	0.01946	0.5293
Porphyromonas uenonis	0.7866	0.8133	0.01915	1.394
Dysgonomonas hofstadii	0.8219	0.8126	0.01948	0.4774
Porphyromonas macacae	0.7995	0.8130	0.01943	0.6948
Porphyromonas gulae	0.8180	0.8127	0.01951	0.2717
Coprobacter secundus	0.8108	0.8128	0.01952	0.1025
Microbacter margulisiae	0.7971	0.8131	0.01939	0.8252
Paludibacter propionicigenes	0.8174	0.8127	0.01951	0.2409
Coprobacter fastidiosus	0.8031	0.8130	0.01947	0.5085
Dysgonomonas macrotermitis	0.8280	0.8124	0.01940	0.8041
Tannerella forsythia	0.8243	0.8125	0.01945	0.6067
Porphyromonas pogonae	0.8218	0.8126	0.01948	0.4723
Parabacteroides johnsonii	0.8384	0.8122	0.01917	1.367
Porphyromonas gingivicanis	0.7952	0.8131	0.01935	0.9251
Barnesiella viscericola	0.7912	0.8132	0.01927	1.142
Parabacteroides gordonii	0.8337	0.8123	0.01928	1.110
Petrimonas mucosa	0.8325	0.8124	0.01931	1.041
Porphyromonas levii	0.7988	0.8130	0.01942	0.7312
Macellibacteroides fermentans	0.8414	0.8122	0.01908	1.530
Dysgonomonas alginatilytica	0.8253	0.8125	0.01944	0.6584
Gabonibacter massiliensis	0.7482	0.8141	0.01715	3.843
Porphyromonas loveana	0.8216	0.8126	0.01948	0.4620
Porphyromonas bennonis	0.7857	0.8133	0.01913	1.443
Dysgonomonas termitidis	0.8370	0.8123	0.01920	1.286
Parabacteroides merdae	0.8385	0.8122	0.01916	1.373
Parabacteroides goldsteinii	0.8304	0.8124	0.01935	0.9302
Dysgonomonas mossii	0.8322	0.8124	0.01932	1.025
Porphyromonas canoris	0.8079	0.8129	0.01951	0.2563
Parabacteroides chartae	0.8258	0.8125	0.01943	0.6845
Petrimonas sulfuriphila	0.8246	0.8125	0.01944	0.6224
Paludibacter jiangxiensis	0.7918	0.8132	0.01928	1.110
Muribaculum intestinale	0.7645	0.8137	0.01824	2.697
Dysgonomonas oryzarvi	0.8245	0.8125	0.01945	0.6170
Proteiniphilum saccharofermentans	0.8342	0.8123	0.01927	1.136
Porphyromonas asaccharolytica	0.7902	0.8132	0.01925	1.195
Porphyromonas catoniae	0.8095	0.8128	0.01951	0.1691
Falsiporphyromonas endometrii	0.7933	0.8132	0.01932	1.030
Proteiniphilum acetatigenes	0.8301	0.8124	0.01936	0.9143
Porphyromonas cangingivalis	0.7983	0.8131	0.01941	0.7625
Fermentimonas caenicola	0.8095	0.8128	0.01951	0.1691
Barnesiella intestinihominis	0.7992	0.8130	0.01942	0.7106
Dysgonomonas capnocytophagoides	0.8128	0.8128	0.01952	0E+1
