Prevotella intermedia	0.8516	0.8413	0.01584	0.6503
Hallella seregens	0.8397	0.8415	0.01591	0.1131
Prevotella marshii	0.8283	0.8418	0.01580	0.8544
Prevotella buccae	0.8269	0.8418	0.01577	0.9448
Prevotella baroniae	0.8326	0.8417	0.01586	0.5738
Prevotella oralis	0.8337	0.8417	0.01587	0.5041
Prevotella bergensis	0.8381	0.8416	0.0159	0.2201
Prevotella scopos	0.8730	0.8409	0.01526	2.104
Prevotella nanceiensis	0.8351	0.8416	0.01588	0.4093
Prevotella oulorum	0.8660	0.8410	0.01552	1.611
Prevotella falsenii	0.8480	0.8414	0.01588	0.4156
Prevotella histicola	0.8708	0.8409	0.01535	1.948
Prevotella paludivivens	0.8554	0.8412	0.01579	0.8993
Prevotella oryzae	0.8335	0.8417	0.01587	0.5167
Prevotella copri	0.8590	0.8411	0.01571	1.139
Prevotella saccharolytica	0.8317	0.8417	0.01585	0.6309
Prevotella disiens	0.8447	0.8414	0.01590	0.2075
Prevotella veroralis	0.8622	0.8411	0.01563	1.350
Prevotella colorans	0.8442	0.8414	0.01591	0.1760
Prevotella fusca	0.8627	0.8411	0.01562	1.383
Prevotella micans	0.8364	0.8416	0.01589	0.3272
Prevotella multiformis	0.8444	0.8414	0.01590	0.1887
Alloprevotella rava	0.8086	0.8422	0.01520	2.211
Prevotella shahii	0.8447	0.8414	0.01590	0.2075
Prevotella multisaccharivorax	0.8326	0.8417	0.01586	0.5738
Prevotella timonensis	0.8395	0.8415	0.01591	0.1257
Prevotella nigrescens	0.8444	0.8414	0.01590	0.1887
Prevotella ruminicola	0.8316	0.8417	0.01585	0.6372
Prevotella loescheii	0.8324	0.8417	0.01586	0.5864
Prevotella jejuni	0.8657	0.8410	0.01553	1.590
Prevotella melaninogenica	0.8603	0.8411	0.01568	1.224
Alloprevotella tannerae	0.7892	0.8425	0.01405	3.794
Prevotella pleuritidis	0.8345	0.8416	0.01588	0.4471
Prevotella dentasini	0.8498	0.8413	0.01587	0.5356
Prevotella buccalis	0.8419	0.8415	0.01591	0.02514
Prevotella oris	0.8562	0.8412	0.01577	0.9512
Prevotella albensis	0.8486	0.8414	0.01588	0.4534
Prevotella amnii	0.8528	0.8413	0.01583	0.7265
Prevotella salivae	0.8607	0.8411	0.01567	1.251
Prevotella enoeca	0.8286	0.8418	0.01580	0.8354
Prevotella pallens	0.8414	0.8415	0.01591	0.006285
Prevotella maculosa	0.8455	0.8414	0.01590	0.2579
Prevotella brevis	0.8358	0.8416	0.01589	0.3650
Prevotella stercorea	0.8291	0.8417	0.01581	0.7970
Paraprevotella xylaniphila	0.8204	0.8419	0.01562	1.376
Prevotella aurantiaca	0.8416	0.8415	0.01591	0.006285
Prevotella dentalis	0.8331	0.8417	0.01586	0.5422
Prevotella bivia	0.8405	0.8415	0.01591	0.06285
Paraprevotella clara	0.8100	0.8421	0.01526	2.104
Prevotella bryantii	0.8330	0.8417	0.01586	0.5485
Prevotella denticola	0.8458	0.8414	0.01590	0.2767
