Promicromonospora umidemergens	0.9399	0.9441	0.01082	0.3882
Isoptericola hypogeus	0.9384	0.9442	0.01079	0.5375
Myceligenerans halotolerans	0.9163	0.9449	0.009634	2.969
Isoptericola halotolerans	0.9461	0.9439	0.01083	0.2031
Promicromonospora alba	0.9471	0.9439	0.01083	0.2955
Promicromonospora thailandica	0.9501	0.9438	0.01079	0.5839
Cellulosimicrobium terreum	0.9354	0.9443	0.01073	0.8295
Promicromonospora citrea	0.9480	0.9439	0.01082	0.3789
Myceligenerans cantabricum	0.9166	0.9449	0.009661	2.929
Isoptericola variabilis	0.9533	0.9437	0.01071	0.8964
Xylanibacterium ulmi	0.9436	0.9440	0.01084	0.03690
Promicromonospora vindobonensis	0.9510	0.9438	0.01077	0.6685
Myceligenerans xiligouense	0.9285	0.9445	0.01048	1.527
Promicromonospora aerolata	0.9496	0.9438	0.01079	0.5375
Cellulosimicrobium funkei	0.9422	0.9441	0.01084	0.1753
Isoptericola cucumis	0.9483	0.9439	0.01081	0.4070
Krasilnikoviella flava	0.9527	0.9437	0.01073	0.8388
Myceligenerans crystallogenes	0.9187	0.9448	0.009844	2.651
Cellulosimicrobium aquatile	0.9381	0.9442	0.01079	0.5653
Cellulosimicrobium cellulans	0.9382	0.9442	0.01079	0.5561
Isoptericola nanjingensis	0.9515	0.9438	0.01076	0.7156
Xylanimicrobium pachnodae	0.9497	0.9438	0.01079	0.5468
Promicromonospora kroppenstedtii	0.9456	0.9440	0.01084	0.1476
Cellulosimicrobium marinum	0.9409	0.9441	0.01083	0.2955
Promicromonospora endophytica	0.9485	0.9439	0.01081	0.4255
Promicromonospora kermanensis	0.9501	0.9438	0.01079	0.5839
Xylanimonas cellulosilytica	0.9463	0.9439	0.01083	0.2216
Promicromonospora xylanilytica	0.9550	0.9437	0.01066	1.060
Krasilnikoviella muralis	0.9572	0.9436	0.01058	1.285
Promicromonospora iranensis	0.9519	0.9438	0.01075	0.7535
Isoptericola jiangsuensis	0.9575	0.9436	0.01057	1.315
Isoptericola dokdonensis	0.9552	0.9437	0.01065	1.080
Isoptericola chiayiensis	0.9406	0.9441	0.01082	0.3235
