Friedmanniella endophytica	0.8884	0.8861	0.01471	0.1564
Luteococcus peritonei	0.9032	0.8859	0.01456	1.188
Propionibacterium acidifaciens	0.8661	0.8865	0.01449	1.408
Acidipropionibacterium olivae	0.8820	0.8862	0.01471	0.2855
Propionibacterium namnetense	0.8766	0.8863	0.01467	0.6612
Propionicicella superfundia	0.8822	0.8862	0.01471	0.2719
Propionibacterium australiense	0.8712	0.8864	0.01459	1.042
Microlunatus ginsengisoli	0.8951	0.8860	0.01467	0.6203
Cutibacterium acnes	0.8736	0.8864	0.01463	0.8749
Microlunatus soli	0.8876	0.8861	0.01472	0.1019
Tessaracoccus oleiagri	0.8968	0.8860	0.01465	0.7372
Luteococcus japonicus	0.8873	0.8861	0.01472	0.08152
Microlunatus parietis	0.8898	0.8861	0.01471	0.2515
Cutibacterium avidum	0.8827	0.8862	0.01471	0.2379
Friedmanniella okinawensis	0.8950	0.8860	0.01467	0.6135
Mariniluteicoccus endophyticus	0.8935	0.8860	0.01469	0.5106
Propioniferax innocua	0.8780	0.8863	0.01468	0.5654
Microlunatus phosphovorus	0.8852	0.8862	0.01472	0.06793
Microlunatus endophyticus	0.8878	0.8861	0.01472	0.1155
Propionibacterium acnes subsp. elongatum	0.8553	0.8866	0.01419	2.206
Friedmanniella aerolata	0.8940	0.8860	0.01468	0.5450
Tessaracoccus lapidicaptus	0.8933	0.8860	0.01469	0.4969
Propionibacterium freudenreichii subsp. shermanii	0.8763	0.8863	0.01466	0.6821
Tessaracoccus defluvii	0.8994	0.8859	0.01462	0.9234
Luteococcus sanguinis	0.8925	0.8861	0.01469	0.4357
Tessaracoccus lubricantis	0.8974	0.8860	0.01465	0.7782
Acidipropionibacterium acidipropionici	0.8709	0.8864	0.01459	1.062
Microlunatus panaciterrae	0.8987	0.8860	0.01463	0.8681
Pseudopropionibacterium propionicum	0.8799	0.8863	0.01470	0.4354
Acidipropionibacterium jensenii	0.8576	0.8866	0.01426	2.034
Tessaracoccus arenae	0.8822	0.8862	0.01471	0.2719
Friedmanniella lacustris	0.9002	0.8859	0.01461	0.9788
Tessaracoccus bendigoensis	0.8831	0.8862	0.01471	0.2107
Propionibacterium freudenreichii subsp. freudenreichii	0.8561	0.8866	0.01421	2.146
Propionimicrobium lymphophilum	0.8636	0.8865	0.01444	1.586
Raineyella antarctica	0.8884	0.8861	0.01471	0.1564
Friedmanniella spumicola	0.9015	0.8859	0.01459	1.069
Friedmanniella lucida	0.9076	0.8858	0.01446	1.508
Propionicimonas paludicola	0.8928	0.8860	0.01469	0.4629
Luteococcus sediminum	0.8890	0.8861	0.01471	0.1971
Granulicoccus phenolivorans	0.8892	0.8861	0.01471	0.2107
Tessaracoccus flavus	0.8944	0.8860	0.01468	0.5722
Friedmanniella flava	0.8996	0.8859	0.01462	0.9371
Propionibacterium acnes subsp. defendens	0.8688	0.8864	0.01455	1.210
Micropruina glycogenica	0.8737	0.8864	0.01463	0.8681
Acidipropionibacterium damnosum	0.8815	0.8862	0.01471	0.3195
Friedmanniella capsulata	0.8927	0.8861	0.01469	0.4493
Acidipropionibacterium microaerophilum	0.8793	0.8863	0.01469	0.4765
Mariniluteicoccus flavus	0.8959	0.8860	0.01466	0.6753
Brooklawnia cerclae	0.8890	0.8861	0.01471	0.1971
Acidipropionibacterium thoenii	0.8463	0.8868	0.01382	2.931
Friedmanniella antarctica	0.9004	0.8859	0.01461	0.9925
Cutibacterium granulosum	0.8659	0.8865	0.01449	1.422
Microlunatus nigridraconis	0.8802	0.8862	0.01470	0.4082
Friedmanniella luteola	0.8993	0.8859	0.01462	0.9166
Naumannella huperziae	0.9078	0.8858	0.01446	1.521
Auraticoccus monumenti	0.8960	0.8860	0.01466	0.6821
Microlunatus aurantiacus	0.8860	0.8862	0.01472	0.01359
Propionibacterium cyclohexanicum	0.8773	0.8863	0.01467	0.6135
Propioniciclava tarda	0.8607	0.8866	0.01436	1.804
Naumannella halotolerans	0.8976	0.8860	0.01464	0.7923
Tessaracoccus rhinocerotis	0.9255	0.8855	0.01384	2.890
Aestuariimicrobium kwangyangense	0.9070	0.8858	0.01448	1.464
Friedmanniella sagamiharensis	0.8979	0.8860	0.01464	0.8128
