Pseudoalteromonas distincta	0.9478	0.9298	0.02346	0.7673
Pseudoalteromonas xiamenensis	0.9085	0.9306	0.02339	0.9448
Algicola bacteriolytica	0.8674	0.9315	0.02175	2.947
Pseudoalteromonas byunsanensis	0.9351	0.9300	0.02359	0.2162
Pseudoalteromonas ruthenica	0.9241	0.9303	0.02358	0.2629
Pseudoalteromonas shioyasakiensis	0.9396	0.9299	0.02356	0.4117
Pseudoalteromonas flavipulchra	0.9250	0.9303	0.02359	0.2247
Pseudoalteromonas translucida	0.9454	0.9298	0.02349	0.6641
Pseudoalteromonas donghaensis	0.9370	0.9300	0.02358	0.2969
Psychrosphaera haliotis	0.8827	0.9311	0.02256	2.145
Pseudoalteromonas arabiensis	0.9308	0.9301	0.02360	0.02966
Pseudoalteromonas paragorgicola	0.9537	0.9297	0.02335	1.028
Pseudoalteromonas peptidolytica	0.9230	0.9303	0.02357	0.3097
Pseudoalteromonas maricaloris	0.9261	0.9302	0.02359	0.1738
Algicola sagamiensis	0.8522	0.9318	0.02068	3.849
Pseudoalteromonas haloplanktis	0.9439	0.9299	0.02351	0.5955
Pseudoalteromonas lipolytica	0.9410	0.9299	0.02354	0.4715
Pseudoalteromonas elyakovii	0.9564	0.9296	0.02328	1.151
Pseudoalteromonas denitrificans	0.9138	0.9305	0.02348	0.7112
Pseudoalteromonas gelatinilytica	0.9421	0.9299	0.02353	0.5185
Pseudoalteromonas profundi	0.9371	0.9300	0.02358	0.3011
Pseudoalteromonas prydzensis	0.9387	0.9300	0.02356	0.3693
Pseudoalteromonas espejiana	0.9546	0.9296	0.02333	1.072
Pseudoalteromonas antarctica	0.9463	0.9298	0.02348	0.7027
Pseudoalteromonas fuliginea	0.9489	0.9298	0.02344	0.8148
Pseudoalteromonas aliena	0.9480	0.9298	0.02345	0.7761
Psychrosphaera aestuarii	0.8806	0.9312	0.02246	2.253
Pseudoalteromonas tetraodonis	0.9525	0.9297	0.02337	0.9756
Pseudoalteromonas luteoviolacea	0.9345	0.9301	0.02359	0.1865
Psychrosphaera saromensis	0.8767	0.9313	0.02227	2.452
Pseudoalteromonas agarivorans	0.9563	0.9296	0.02329	1.146
Pseudoalteromonas neustonica	0.9370	0.9300	0.02358	0.2969
Pseudoalteromonas marina	0.9429	0.9299	0.02352	0.5527
Pseudoalteromonas fenneropenaei	0.9094	0.9306	0.02340	0.9060
Pseudoalteromonas mariniglutinosa	0.9362	0.9300	0.02358	0.2629
Pseudoalteromonas citrea	0.9389	0.9300	0.02356	0.3778
Pseudoalteromonas undina	0.9436	0.9299	0.02352	0.5825
Pseudoalteromonas nigrifaciens	0.9466	0.9298	0.02347	0.7158
Pseudoalteromonas carrageenovora	0.9443	0.9298	0.02351	0.6168
Pseudoalteromonas piscicida	0.9366	0.9300	0.02358	0.2799
Pseudoalteromonas ulvae	0.9320	0.9301	0.02360	0.08051
Pseudoalteromonas tunicata	0.9023	0.9307	0.02325	1.222
Pseudoalteromonas arctica	0.9487	0.9298	0.02344	0.8063
Pseudoalteromonas atlantica	0.9383	0.9300	0.02357	0.3521
Pseudoalteromonas rubra	0.9373	0.9300	0.02357	0.3097
Pseudoalteromonas aurantia	0.9256	0.9302	0.02359	0.1950
Pseudoalteromonas phenolica	0.9224	0.9303	0.02357	0.3352
Pseudoalteromonas spongiae	0.9438	0.9299	0.02351	0.5912
Pseudoalteromonas issachenkonii	0.9213	0.9303	0.02356	0.3820
