Pseudomonas geniculata	0.8161	0.9221	0.03773	2.809
Pseudomonas azotifigens	0.9147	0.9216	0.03847	0.1794
Pseudomonas sagittaria	0.9196	0.9216	0.03847	0.05199
Pseudomonas koreensis	0.9423	0.9214	0.03845	0.5436
Pseudomonas rhizosphaerae	0.9362	0.9215	0.03846	0.3822
Pseudomonas endophytica	0.9342	0.9215	0.03846	0.3302
Pseudomonas pelagia	0.9009	0.9217	0.03845	0.5410
Pseudomonas argentinensis	0.9334	0.9215	0.03847	0.3093
Rhizobacter fulvus	0.7870	0.9222	0.03726	3.629
Rugamonas rubra	0.7686	0.9223	0.0369	4.165
Pseudomonas japonica	0.9357	0.9215	0.03846	0.3692
Pseudomonas kilonensis	0.9412	0.9215	0.03845	0.5124
Pseudomonas cuatrocienegasensis	0.9269	0.9215	0.03847	0.1404
Pseudomonas halophila	0.8051	0.9221	0.03757	3.114
Pseudomonas panipatensis	0.9132	0.9216	0.03847	0.2184
Pseudomonas canadensis	0.9415	0.9214	0.03845	0.5228
Pseudomonas azotoformans	0.9385	0.9215	0.03846	0.4420
Pseudomonas soli	0.9358	0.9215	0.03846	0.3718
Pseudomonas cedrina subsp. cedrina	0.9429	0.9214	0.03844	0.5593
Pseudomonas pohangensis	0.9287	0.9215	0.03847	0.1872
Pseudomonas arsenicoxydans	0.9416	0.9214	0.03845	0.5254
Azotobacter vinelandii	0.9058	0.9216	0.03846	0.4108
Pseudomonas composti	0.9323	0.9215	0.03847	0.2807
Pseudomonas extremaustralis	0.9425	0.9214	0.03845	0.5488
Pseudomonas alkylphenolica	0.9394	0.9215	0.03845	0.4655
Pseudomonas synxantha	0.9390	0.9215	0.03845	0.4551
Pseudomonas xanthomarina	0.9334	0.9215	0.03847	0.3093
Azotobacter beijerinckii	0.9152	0.9216	0.03847	0.1664
Pseudomonas saponiphila	0.9282	0.9215	0.03847	0.1742
Pseudomonas brassicacearum subsp. neoaurantiaca	0.9400	0.9215	0.03845	0.4811
Pseudomonas toyotomiensis	0.9376	0.9215	0.03846	0.4186
Pseudomonas fulva	0.9406	0.9215	0.03845	0.4967
Pseudomonas chlororaphis subsp. aureofaciens	0.9425	0.9214	0.03845	0.5488
Pseudomonas pachastrellae	0.9126	0.9216	0.03847	0.2339
Pseudomonas taeanensis	0.9329	0.9215	0.03847	0.2963
Pseudomonas baetica	0.9393	0.9215	0.03845	0.4629
Pseudomonas thermotolerans	0.9099	0.9216	0.03847	0.3041
Pseudomonas alcaligenes	0.9281	0.9215	0.03847	0.1716
Pseudomonas duriflava	0.9157	0.9216	0.03847	0.1534
Pseudomonas libanensis	0.9427	0.9214	0.03845	0.5540
Pseudomonas orientalis	0.9404	0.9215	0.03845	0.4915
Pseudomonas abietaniphila	0.9348	0.9215	0.03846	0.3458
Pseudomonas hibiscicola	0.8124	0.9221	0.03768	2.911
Pseudomonas boreopolis	0.8071	0.9221	0.0376	3.059
Pseudomonas borbori	0.9342	0.9215	0.03846	0.3302
Azorhizophilus paspali	0.9033	0.9216	0.03845	0.4759
Pseudomonas proteolytica	0.9411	0.9215	0.03845	0.5098
Permianibacter aggregans	0.8256	0.9220	0.03786	2.546
Pseudomonas litoralis	0.9136	0.9216	0.03847	0.2080
Pseudomonas oleovorans subsp. lubricantis	0.9340	0.9215	0.03846	0.3250
Pseudomonas chlororaphis subsp. aurantiaca	0.9466	0.9214	0.03843	0.6557
Pseudomonas moorei	0.9511	0.9214	0.03842	0.7730
Pseudomonas panacis	0.9400	0.9215	0.03845	0.4811
Pseudomonas nitritireducens	0.9236	0.9215	0.03847	0.05459
Pseudomonas coleopterorum	0.9362	0.9215	0.03846	0.3822
Azomonas macrocytogenes	0.9120	0.9216	0.03847	0.2495
Pseudomonas yamanorum	0.9432	0.9214	0.03844	0.5671
Pseudomonas moraviensis	0.9451	0.9214	0.03844	0.6165
Pseudomonas populi	0.9085	0.9216	0.03846	0.3406
Pseudomonas turukhanskensis	0.9363	0.9215	0.03846	0.3848
Pseudomonas ficuserectae	0.9385	0.9215	0.03846	0.4420
Pseudomonas gessardii	0.9432	0.9214	0.03844	0.5671
Oblitimonas alkaliphila	0.9028	0.9216	0.03845	0.4889
Pseudomonas veronii	0.9459	0.9214	0.03844	0.6374
Pseudomonas agarici	0.9380	0.9215	0.03846	0.4290
Rhizobacter bergeniae	0.7833	0.9222	0.03719	3.735
Pseudomonas grimontii	0.9409	0.9215	0.03845	0.5046
Stenotrophomonas pictorum	0.8059	0.9221	0.03758	3.092
Pseudomonas guariconensis	0.9407	0.9215	0.03845	0.4993
Pseudomonas extremorientalis	0.9451	0.9214	0.03844	0.6165
Pseudomonas flavescens	0.9361	0.9215	0.03846	0.3796
Pseudomonas parafulva	0.9427	0.9214	0.03845	0.5540
Pseudomonas deceptionensis	0.9366	0.9215	0.03846	0.3926
Pseudomonas salomonii	0.9426	0.9214	0.03845	0.5514
Pseudomonas psychrotolerans	0.9208	0.9216	0.03847	0.02080
Pseudomonas migulae	0.9469	0.9214	0.03843	0.6635
Pseudomonas glareae	0.9309	0.9215	0.03847	0.2443
Pseudomonas lini	0.9464	0.9214	0.03843	0.6505
Pseudomonas salegens	0.9081	0.9216	0.03846	0.3510
Pseudomonas tolaasii	0.9444	0.9214	0.03844	0.5983
Pseudomonas hussainii	0.9148	0.9216	0.03847	0.1768
Pseudomonas paralactis	0.9436	0.9214	0.03844	0.5775
Pseudomonas costantinii	0.9418	0.9214	0.03845	0.5306
Pseudomonas benzenivorans	0.9390	0.9215	0.03845	0.4551
Pseudomonas salina	0.9126	0.9216	0.03847	0.2339
Pseudomonas brenneri	0.9394	0.9215	0.03845	0.4655
Pseudomonas seleniipraecipitans	0.9337	0.9215	0.03847	0.3171
Pseudomonas prosekii	0.9440	0.9214	0.03844	0.5879
Pseudomonas segetis	0.9301	0.9215	0.03847	0.2236
Pseudomonas mucidolens	0.9365	0.9215	0.03846	0.3900
Pseudomonas bauzanensis	0.9129	0.9216	0.03847	0.2262
Pseudomonas indica	0.9131	0.9216	0.03847	0.2210
Pseudomonas aestusnigri	0.9085	0.9216	0.03846	0.3406
Pseudomonas chlororaphis subsp. chlororaphis	0.9431	0.9214	0.03844	0.5645
Rhizobacter dauci	0.7894	0.9222	0.0373	3.560
Pseudomonas weihenstephanensis	0.9393	0.9215	0.03845	0.4629
Pseudomonas oceani	0.9101	0.9216	0.03847	0.2989
Pseudomonas chengduensis	0.9425	0.9214	0.03845	0.5488
Pseudomonas monteilii	0.9462	0.9214	0.03843	0.6453
Pseudomonas vranovensis	0.9364	0.9215	0.03846	0.3874
Pseudomonas fluorescens	0.9374	0.9215	0.03846	0.4134
Pseudomonas mohnii	0.9483	0.9214	0.03843	0.7000
Pseudomonas flexibilis	0.9219	0.9215	0.03847	0.01040
Pseudomonas asplenii	0.9423	0.9214	0.03845	0.5436
Azotobacter chroococcum	0.9203	0.9216	0.03847	0.03379
Pseudomonas linyingensis	0.9228	0.9215	0.03847	0.03379
Pseudomonas antarctica	0.9421	0.9214	0.03845	0.5384
Pseudomonas zeshuii	0.9210	0.9216	0.03847	0.01560
Pseudomonas frederiksbergensis	0.9307	0.9215	0.03847	0.2391
Pseudomonas punonensis	0.9386	0.9215	0.03846	0.4446
Pseudomonas putida	0.9395	0.9215	0.03845	0.4681
Pseudomonas sabulinigri	0.9158	0.9216	0.03847	0.1508
Pseudomonas trivialis	0.9442	0.9214	0.03844	0.5931
Pseudomonas lactis	0.9419	0.9214	0.03845	0.5332
Pseudomonas mosselii	0.9401	0.9215	0.03845	0.4837
Pseudomonas alcaliphila	0.9383	0.9215	0.03846	0.4368
Pseudomonas chlororaphis subsp. piscium	0.9469	0.9214	0.03843	0.6635
Pseudomonas syringae	0.9302	0.9215	0.03847	0.2262
Pseudomonas meridiana	0.9383	0.9215	0.03846	0.4368
Pseudomonas pseudoalcaligenes	0.9371	0.9215	0.03846	0.4056
Pseudomonas luteola	0.9228	0.9215	0.03847	0.03379
