Tabrizicola aquatica	0.8763	0.8843	0.01623	0.4929
Jannaschia donghaensis	0.8897	0.8842	0.01623	0.3389
Sulfitobacter noctilucicola	0.8903	0.8842	0.01623	0.3758
Cribrihabitans neustonicus	0.8928	0.8842	0.01623	0.5299
Rubellimicrobium roseum	0.8703	0.8843	0.01622	0.8631
Rhodobacter johrii	0.8872	0.8842	0.01623	0.1848
Nioella sediminis	0.9003	0.8842	0.01622	0.9926
Roseovarius aestuarii	0.8999	0.8842	0.01622	0.9679
Phaeobacter inhibens	0.8951	0.8842	0.01623	0.6716
Loktanella atrilutea	0.8754	0.8843	0.01623	0.5484
Aestuariivita boseongensis	0.8975	0.8842	0.01622	0.8200
Actibacterium ureilyticum	0.8881	0.8842	0.01623	0.2403
Marivita litorea	0.8917	0.8842	0.01623	0.4621
Roseivivax isoporae	0.8892	0.8842	0.01623	0.3081
Roseivivax halodurans	0.8727	0.8843	0.01623	0.7147
Rubellimicrobium aerolatum	0.8521	0.8843	0.01616	1.993
Pelagicola litorisediminis	0.8951	0.8842	0.01623	0.6716
Lutimaribacter saemankumensis	0.8914	0.8842	0.01623	0.4436
Celeribacter baekdonensis	0.8891	0.8842	0.01623	0.3019
Sediminimonas qiaohouensis	0.8816	0.8842	0.01623	0.1602
Lutimaribacter litoralis	0.8904	0.8842	0.01623	0.3820
Thalassobius aquaeponti	0.8934	0.8842	0.01623	0.5669
Sulfitobacter dubius	0.8924	0.8842	0.01623	0.5052
Pelagicola litoralis	0.8870	0.8842	0.01623	0.1725
Nesiotobacter exalbescens	0.8305	0.8844	0.01604	3.360
Rhodovulum robiginosum	0.8738	0.8843	0.01623	0.6470
Paracoccus sphaerophysae	0.8832	0.8842	0.01623	0.06161
Nereida ignava	0.8775	0.8843	0.01623	0.4190
Roseibium aquae	0.8437	0.8843	0.01612	2.519
Roseisalinus antarcticus	0.8879	0.8842	0.01623	0.2280
Thalassococcus halodurans	0.8923	0.8842	0.01623	0.4991
Roseovarius aquimarinus	0.8847	0.8842	0.01623	0.03081
Albirhodobacter marinus	0.8738	0.8843	0.01623	0.6470
Pseudorhodobacter antarcticus	0.8766	0.8843	0.01623	0.4744
Roseovarius halotolerans	0.8959	0.8842	0.01622	0.7213
Celeribacter naphthalenivorans	0.8853	0.8842	0.01623	0.06778
Shimia haliotis	0.8967	0.8842	0.01622	0.7707
Amaricoccus tamworthensis	0.8585	0.8843	0.01619	1.594
Roseovarius nanhaiticus	0.8928	0.8842	0.01623	0.5299
Pacificibacter maritimus	0.8882	0.8842	0.01623	0.2465
Lentibacter algarum	0.8790	0.8843	0.01623	0.3266
Shimia sagamensis	0.8908	0.8842	0.01623	0.4067
Loktanella sediminilitoris	0.8898	0.8842	0.01623	0.3450
Paracoccus seriniphilus	0.8840	0.8842	0.01623	0.01232
Jhaorihella thermophila	0.8747	0.8843	0.01623	0.5915
Roseovarius mucosus	0.8913	0.8842	0.01623	0.4375
Thalassobius abyssi	0.8944	0.8842	0.01623	0.6285
Sedimentitalea nanhaiensis	0.8924	0.8842	0.01623	0.5052
Halocynthiibacter arcticus	0.8831	0.8842	0.01623	0.06778
Pseudoruegeria aestuarii	0.8905	0.8842	0.01623	0.3882
Epibacterium ulvae	0.8877	0.8842	0.01623	0.2157
Roseovarius tolerans	0.8897	0.8842	0.01623	0.3389
Lutimaribacter marinistellae	0.8907	0.8842	0.01623	0.4005
Roseibium hamelinense	0.8288	0.8844	0.01602	3.471
Paracoccus pantotrophus	0.8889	0.8842	0.01623	0.2896
Amylibacter ulvae	0.8724	0.8843	0.01622	0.7337
Sulfitobacter geojensis	0.8924	0.8842	0.01623	0.5052
Pseudorhodobacter ferrugineus	0.8592	0.8843	0.01619	1.550
Stappia taiwanensis	0.8248	0.8844	0.01599	3.727
Loktanella litorea	0.8938	0.8842	0.01623	0.5915
Mameliella alba	0.8865	0.8842	0.01623	0.1417
Ahrensia marina	0.8360	0.8843	0.01607	3.006
Pseudoruegeria haliotis	0.8877	0.8842	0.01623	0.2157
Paracoccus pacificus	0.8870	0.8842	0.01623	0.1725
Roseivivax halotolerans	0.8823	0.8842	0.01623	0.1171
Paracoccus aestuariivivens	0.8957	0.8842	0.01623	0.7086
Sulfitobacter porphyrae	0.8960	0.8842	0.01622	0.7275
Maritimibacter lacisalsi	0.8988	0.8842	0.01622	0.9001
Roseivivax jejudonensis	0.8794	0.8843	0.01623	0.3019
