Parvibaculum lavamentivorans	0.8741	0.8768	0.009289	0.2907
Rhodobium orientis	0.8908	0.8759	0.00862	1.729
Methyloligella solikamskensis	0.8801	0.8765	0.009272	0.3883
Microbaculum marinum	0.8810	0.8764	0.009249	0.4974
Tepidicaulis marinus	0.8656	0.8773	0.008891	1.316
Parvibaculum hydrocarboniclasticum	0.8762	0.8767	0.009311	0.05370
Afifella marina	0.8837	0.8763	0.009146	0.8091
Methyloligella halotolerans	0.8758	0.8767	0.009309	0.09668
Roseospirillum parvum	0.8518	0.8782	0.006937	3.806
Rhodoligotrophos appendicifer	0.8896	0.8759	0.008736	1.568
Afifella pfennigii	0.8706	0.8770	0.009187	0.6966
Anderseniella baltica	0.8760	0.8767	0.00931	0.07519
Rhodobium gokarnense	0.8776	0.8766	0.009309	0.1074
Tepidamorphus gemmatus	0.8846	0.8762	0.00910	0.9231
Lutibaculum baratangense	0.8865	0.8761	0.008984	1.158
Pyruvatibacter mobilis	0.8730	0.8769	0.009266	0.4209
Parvibaculum indicum	0.8687	0.8772	0.009096	0.9345
Methyloceanibacter caenitepidi	0.8747	0.8768	0.009298	0.2259
