Dechloromonas agitata	0.8860	0.8942	0.01351	0.6070
Thauera terpenica	0.9011	0.8938	0.01352	0.5399
Dechloromonas hortensis	0.8884	0.8941	0.01354	0.4210
Quatrionicoccus australiensis	0.8614	0.8948	0.01257	2.657
Methyloversatilis discipulorum	0.8906	0.8941	0.01355	0.2583
Sulfurisoma sediminicola	0.8842	0.8942	0.01348	0.7418
Methyloversatilis thermotolerans	0.8887	0.8941	0.01354	0.3988
Azoarcus toluvorans	0.9030	0.8938	0.01349	0.6820
Ferribacterium limneticum	0.8800	0.8943	0.01339	1.068
Azovibrio restrictus	0.8895	0.8941	0.01355	0.3395
Thauera humireducens	0.8979	0.8939	0.01355	0.2952
Propionivibrio pelophilus	0.8846	0.8942	0.01348	0.7122
Rugosibacter aromaticivorans	0.8753	0.8945	0.01325	1.449
Azoarcus toluclasticus	0.9101	0.8936	0.01333	1.238
Azoarcus evansii	0.9095	0.8936	0.01335	1.191
Thauera selenatis	0.9097	0.8936	0.01334	1.207
Azospira restricta	0.8954	0.8940	0.01356	0.1032
Thauera phenylacetica	0.9132	0.8936	0.01323	1.481
Propionivibrio dicarboxylicus	0.8817	0.8943	0.01343	0.9382
Propionivibrio limicola	0.8852	0.8942	0.01349	0.6672
Rhodocyclus purpureus	0.8689	0.8946	0.01299	1.978
Thauera mechernichensis	0.9125	0.8936	0.01325	1.426
Azospira oryzae	0.8903	0.8941	0.01355	0.2804
Azoarcus buckelii	0.9113	0.8936	0.01329	1.332
Thauera butanivorans	0.9037	0.8938	0.01348	0.7344
Rhodocyclus tenuis	0.8808	0.8943	0.01341	1.007
Dechloromonas denitrificans	0.8749	0.8945	0.01323	1.481
Azoarcus tolulyticus	0.9080	0.8937	0.01339	1.068
Thauera chlorobenzoica	0.9116	0.8936	0.01328	1.355
Uliginosibacterium gangwonense	0.8954	0.8940	0.01356	0.1032
Methyloversatilis universalis	0.8817	0.8943	0.01343	0.9382
Sulfuritalea hydrogenivorans	0.8787	0.8944	0.01335	1.176
Azoarcus anaerobius	0.9093	0.8936	0.01335	1.176
Denitratisoma oestradiolicum	0.8855	0.8942	0.01350	0.6444
Thauera linaloolentis	0.9080	0.8937	0.01339	1.068
Azoarcus olearius	0.9127	0.8936	0.01325	1.442
Thauera aminoaromatica	0.9115	0.8936	0.01329	1.347
Oryzomicrobium terrae	0.8799	0.8943	0.01338	1.076
Azoarcus communis	0.9009	0.8938	0.01352	0.5251
Thauera aromatica	0.8938	0.8940	0.01356	0.01475
Uliginosibacterium paludis	0.9005	0.8939	0.01353	0.4878
Azoarcus indigens	0.8897	0.8941	0.01355	0.3247
Niveibacterium umoris	0.8973	0.8939	0.01355	0.2509
