Anaerocella delicata	0.7808	0.8315	0.03441	1.473
Alistipes finegoldii	0.8781	0.8207	0.03334	1.722
Alistipes inops	0.8526	0.8235	0.03683	0.7901
Alistipes onderdonkii	0.8595	0.8228	0.03614	1.015
Alistipes putredinis	0.8527	0.8235	0.03682	0.7930
Mucinivorans hirudinis	0.8130	0.8279	0.03767	0.3955
Alistipes timonensis	0.8345	0.8256	0.03786	0.2351
Alistipes indistinctus	0.8185	0.8273	0.03786	0.2324
Acetobacteroides hydrogenigenes	0.7528	0.8346	0.02777	2.946
Alistipes shahii	0.8220	0.8269	0.03793	0.1292
