Faecalibacterium prausnitzii	0.7960	0.8008	0.01688	0.2844
Anaerobacterium chartisolvens	0.8066	0.8005	0.01686	0.3618
Anaerofilum agile	0.7972	0.8008	0.01688	0.2133
Papillibacter cinnamivorans	0.8034	0.8006	0.01689	0.1658
Ruthenibacterium lactatiformans	0.8137	0.8003	0.01674	0.8005
Anaerofilum pentosovorans	0.7884	0.8010	0.01676	0.7518
Ruminococcus faecis	0.7904	0.8010	0.01680	0.6310
Blautia obeum	0.7845	0.8011	0.01665	0.9970
Ruminococcus lactaris	0.7791	0.8013	0.01646	1.349
Ruminococcus gnavus	0.7844	0.8012	0.01665	1.009
Fastidiosipila sanguinis	0.7671	0.8017	0.01582	2.187
Ercella succinigenes	0.7868	0.8011	0.01672	0.8553
Ruminococcus albus	0.8161	0.8002	0.01667	0.9538
Ruminococcus callidus	0.8251	0.7999	0.01633	1.543
Ruminococcus flavefaciens	0.8171	0.8002	0.01664	1.016
Acetivibrio cellulolyticus	0.8113	0.8003	0.01679	0.6552
Acetivibrio ethanolgignens	0.7822	0.8012	0.01658	1.146
Hydrogenoanaerobacterium saccharovorans	0.8219	0.8000	0.01647	1.330
Sporobacter termitidis	0.8078	0.8004	0.01685	0.4392
Acetanaerobacterium elongatum	0.8194	0.8001	0.01657	1.165
Intestinimonas butyriciproducens	0.8188	0.8001	0.01659	1.127
Ethanoligenens harbinense	0.8056	0.8005	0.01687	0.3023
Herbivorax saccincola	0.7989	0.8007	0.01689	0.1066
Fournierella massiliensis	0.8216	0.8000	0.01649	1.310
Anaerotruncus colihominis	0.8117	0.8003	0.01678	0.6794
Agathobaculum desmolans	0.8055	0.8005	0.01687	0.2964
Ruminococcus torques	0.7757	0.8014	0.01631	1.576
Pseudobacteroides cellulosolvens	0.8065	0.8005	0.01686	0.3559
Harryflintia acetispora	0.8215	0.8000	0.01649	1.304
Agathobaculum butyriciproducens	0.8081	0.8004	0.01684	0.4572
Ruminococcus bromii	0.7983	0.8007	0.01689	0.1421
Ruminococcus gauvreauii	0.7620	0.8018	0.01545	2.576
Mageeibacillus indolicus	0.7784	0.8013	0.01643	1.394
Ruminococcus champanellensis	0.8113	0.8003	0.01679	0.6552
