Pectinatus haikarae	0.8599	0.8553	0.0173	0.2659
Megamonas rupellensis	0.8363	0.8563	0.01688	1.185
Propionispira arboris	0.8514	0.8557	0.01731	0.2484
Pectinatus portalensis	0.8503	0.8557	0.01729	0.3123
Propionispira raffinosivorans	0.8477	0.8558	0.01725	0.4696
Megamonas funiformis	0.8388	0.8562	0.01699	1.024
Selenomonas flueggei	0.8635	0.8552	0.01725	0.4812
Pectinatus sottacetonis	0.8468	0.8559	0.01723	0.5281
Mitsuokella multacida	0.8749	0.8547	0.01687	1.197
Megamonas hypermegale	0.8381	0.8562	0.01696	1.067
Propionispira arcuata	0.8514	0.8557	0.01731	0.2484
Selenomonas noxia	0.8689	0.8550	0.01711	0.8124
Selenomonas artemidis	0.8644	0.8551	0.01723	0.5398
Mitsuokella jalaludinii	0.8834	0.8544	0.01636	1.773
Anaerovibrio lipolyticus	0.8536	0.8556	0.01732	0.1155
Selenomonas bovis	0.8781	0.8546	0.01670	1.407
Selenomonas sputigena	0.8535	0.8556	0.01732	0.1212
Selenomonas lipolytica	0.8033	0.8576	0.01367	3.972
Schwartzia succinivorans	0.8627	0.8552	0.01726	0.4345
Centipeda periodontii	0.8761	0.8547	0.01681	1.273
Selenomonas ruminantium subsp. ruminantium	0.8714	0.8549	0.01702	0.9694
Selenomonas dianae	0.8677	0.8550	0.01715	0.7405
Selenomonas ruminantium subsp. lactilytica	0.8456	0.8559	0.01721	0.5985
Pectinatus cerevisiiphilus	0.8711	0.8549	0.01703	0.9513
Pectinatus brassicae	0.8377	0.8562	0.01694	1.092
Propionispira paucivorans	0.8465	0.8559	0.01723	0.5456
