Shewanella algidipiscicola	0.9297	0.9239	0.01285	0.4514
Shewanella marisflavi	0.9294	0.9239	0.01285	0.4280
Shewanella basaltis	0.9283	0.9239	0.01286	0.3421
Shewanella baltica	0.9305	0.9239	0.01284	0.5140
Shewanella loihica	0.9261	0.9240	0.01286	0.1633
Shewanella benthica	0.9231	0.9240	0.01287	0.06993
Shewanella pacifica	0.9234	0.9240	0.01287	0.04662
Shewanella hafniensis	0.9322	0.9239	0.01283	0.6469
Shewanella marinintestina	0.9361	0.9238	0.01278	0.9624
Shewanella dokdonensis	0.8936	0.9244	0.01230	2.504
Shewanella spongiae	0.8999	0.9243	0.01252	1.949
Shewanella algicola	0.9199	0.9240	0.01286	0.3188
Psychrobium conchae	0.8898	0.9245	0.01215	2.856
Shewanella sairae	0.9384	0.9238	0.01274	1.146
Shewanella hanedai	0.9161	0.9241	0.01283	0.6235
Shewanella atlantica	0.9275	0.9239	0.01286	0.2799
Shewanella algae	0.9201	0.9240	0.01286	0.3033
Shewanella fodinae	0.8876	0.9245	0.01205	3.062
Shewanella indica	0.9240	0.9240	0.01287	0E+1
Shewanella abyssi	0.9268	0.9239	0.01286	0.2255
Shewanella violacea	0.9218	0.9240	0.01286	0.1711
Shewanella denitrificans	0.9212	0.9240	0.01286	0.2177
Shewanella xiamenensis	0.9326	0.9239	0.01282	0.6786
Shewanella gelidii	0.9257	0.9240	0.01287	0.1321
Shewanella kaireitica	0.9306	0.9239	0.01284	0.5218
Shewanella fidelis	0.9323	0.9239	0.01283	0.6547
Shewanella irciniae	0.9079	0.9242	0.01271	1.282
Shewanella woodyi	0.9248	0.9240	0.01287	0.06216
Shewanella olleyana	0.9086	0.9242	0.01272	1.226
Shewanella amazonensis	0.9056	0.9243	0.01266	1.477
Shewanella upenei	0.9200	0.9240	0.01286	0.3110
Shewanella livingstonensis	0.9318	0.9239	0.01283	0.6157
Shewanella psychrophila	0.9183	0.9241	0.01285	0.4514
Shewanella surugensis	0.9279	0.9239	0.01286	0.3110
Shewanella electrodiphila	0.9253	0.9240	0.01287	0.1010
Shewanella colwelliana	0.9306	0.9239	0.01284	0.5218
Shewanella litorisediminis	0.9213	0.9240	0.01286	0.2100
Shewanella haliotis	0.9183	0.9241	0.01285	0.4514
Shewanella pneumatophori	0.9373	0.9238	0.01276	1.058
Shewanella waksmanii	0.9291	0.9239	0.01285	0.4047
Shewanella chilikensis	0.9047	0.9243	0.01264	1.551
Shewanella glacialipiscicola	0.9312	0.9239	0.01284	0.5685
Shewanella gelidimarina	0.9231	0.9240	0.01287	0.06993
Shewanella decolorationis	0.9376	0.9238	0.01276	1.082
Shewanella canadensis	0.9232	0.9240	0.01287	0.06216
Shewanella mangrovi	0.9029	0.9243	0.01260	1.698
Shewanella gaetbuli	0.9321	0.9239	0.01283	0.6391
Shewanella oneidensis	0.9276	0.9239	0.01286	0.2877
Shewanella halifaxensis	0.9350	0.9238	0.01279	0.8757
Shewanella putrefaciens	0.9375	0.9238	0.01276	1.074
Shewanella schlegeliana	0.9339	0.9238	0.01281	0.7884
Shewanella frigidimarina	0.9342	0.9238	0.01280	0.8125
Shewanella seohaensis	0.9347	0.9238	0.01280	0.8516
Shewanella intestini	0.9281	0.9239	0.01286	0.3266
Shewanella aestuarii	0.9275	0.9239	0.01286	0.2799
Shewanella japonica	0.9274	0.9239	0.01286	0.2722
Shewanella donghaensis	0.9287	0.9239	0.01285	0.3735
Shewanella aquimarina	0.9180	0.9241	0.01285	0.4747
Shewanella pealeana	0.9304	0.9239	0.01284	0.5062
Shewanella marina	0.9194	0.9241	0.01285	0.3658
Shewanella inventionis	0.9357	0.9238	0.01278	0.9311
Shewanella profunda	0.9349	0.9238	0.01280	0.8672
Shewanella sediminis	0.9178	0.9241	0.01284	0.4907
Shewanella piezotolerans	0.8967	0.9244	0.01241	2.232
Shewanella arctica	0.9487	0.9236	0.01250	2.008
Shewanella corallii	0.9072	0.9242	0.01270	1.339
Shewanella morhuae	0.9551	0.9235	0.01227	2.575
