Sphingobacterium ginsenosidimutans	0.8735	0.8708	0.01455	0.1856
Pedobacter psychrotolerans	0.8740	0.8708	0.01455	0.2199
Pedobacter petrophilus	0.8783	0.8708	0.01454	0.5158
Pedobacter aquatilis	0.8808	0.8708	0.01453	0.6882
Pedobacter steynii	0.8841	0.8707	0.01452	0.9229
Parapedobacter luteus	0.8404	0.8710	0.01437	2.129
Mucilaginibacter gossypii	0.8840	0.8707	0.01452	0.9160
Sphingobacterium cladoniae	0.8750	0.8708	0.01455	0.2887
Mucilaginibacter soyangensis	0.8829	0.8707	0.01452	0.8402
Mucilaginibacter daejeonensis	0.8825	0.8707	0.01453	0.8121
Pedobacter ginsengiterrae	0.8755	0.8708	0.01455	0.3230
Sphingobacterium caeni	0.8675	0.8708	0.01455	0.2268
Mucilaginibacter pineti	0.8805	0.8708	0.01453	0.6676
Mucilaginibacter defluvii	0.8850	0.8707	0.01451	0.9855
Sphingobacterium alkalisoli	0.8665	0.8708	0.01455	0.2955
Mucilaginibacter gracilis	0.8778	0.8708	0.01454	0.4814
Pedobacter alpinus	0.8772	0.8708	0.01454	0.4402
Sphingobacterium composti	0.8632	0.8709	0.01454	0.5296
Mucilaginibacter herbaticus	0.8806	0.8708	0.01453	0.6745
Parapedobacter pyrenivorans	0.8440	0.8710	0.01441	1.874
Pedobacter westerhofensis	0.8786	0.8708	0.01454	0.5365
Pedobacter koreensis	0.8812	0.8708	0.01453	0.7158
Mucilaginibacter vulcanisilvae	0.8707	0.8708	0.01455	0.006873
Pedobacter sandarakinus	0.8813	0.8708	0.01453	0.7226
Pedobacter himalayensis	0.8692	0.8708	0.01455	0.1100
Sphingobacterium suaedae	0.8667	0.8708	0.01455	0.2818
Mucilaginibacter koreensis	0.8686	0.8708	0.01455	0.1512
Pedobacter suwonensis	0.8822	0.8707	0.01453	0.7915
Sphingobacterium nematocida	0.8682	0.8708	0.01455	0.1787
Mucilaginibacter mallensis	0.8822	0.8707	0.01453	0.7915
Pedobacter composti	0.8774	0.8708	0.01454	0.4539
Arcticibacter svalbardensis	0.8676	0.8708	0.01455	0.2199
Sphingobacterium thermophilum	0.8468	0.8709	0.01444	1.669
Olivibacter ginsengisoli	0.8560	0.8709	0.01451	1.027
Pedobacter zeae	0.8811	0.8708	0.01453	0.7089
Pedobacter rivuli	0.8729	0.8708	0.01455	0.1443
Sphingobacterium canadense	0.8672	0.8708	0.01455	0.2474
Sphingobacterium pakistanense	0.8715	0.8708	0.01455	0.04811
Mucilaginibacter psychrotolerans	0.8804	0.8708	0.01453	0.6607
Pedobacter huanghensis	0.8738	0.8708	0.01455	0.2062
Mucilaginibacter lappiensis	0.8804	0.8708	0.01453	0.6607
Sphingobacterium mucilaginosum	0.8523	0.8709	0.01449	1.284
Pedobacter jamesrossensis	0.8831	0.8707	0.01452	0.8540
Pedobacter lusitanus	0.8677	0.8708	0.01455	0.2131
Pedobacter africanus	0.8848	0.8707	0.01451	0.9717
Sphingobacterium alimentarium	0.8671	0.8708	0.01455	0.2543
Mucilaginibacter ximonensis	0.8805	0.8708	0.01453	0.6676
Pedobacter edaphicus	0.8686	0.8708	0.01455	0.1512
Sphingobacterium kitahiroshimense	0.8665	0.8708	0.01455	0.2955
Solitalea koreensis	0.8448	0.8710	0.01442	1.817
Olivibacter jilunii	0.8519	0.8709	0.01448	1.312
Mucilaginibacter carri	0.8851	0.8707	0.01451	0.9924
