Pullulanibacillus naganoensis	0.8990	0.9083	0.02738	0.3397
Sporolactobacillus putidus	0.9198	0.9070	0.0273	0.4689
Pullulanibacillus pueri	0.9021	0.9081	0.02743	0.2187
Sporolactobacillus terrae	0.9256	0.9067	0.02708	0.6979
Sinobaca qinghaiensis	0.8304	0.9126	0.01890	4.349
Pullulanibacillus uraniitolerans	0.8909	0.9088	0.02712	0.6600
Sporolactobacillus nakayamae subsp. nakayamae	0.9344	0.9061	0.02660	1.064
Pullulanibacillus camelliae	0.8950	0.9086	0.02727	0.4987
Sporolactobacillus inulinus	0.9331	0.9062	0.02668	1.008
Sporolactobacillus nakayamae subsp. racemicus	0.9235	0.9068	0.02717	0.6146
Sporolactobacillus pectinivorans	0.9219	0.9069	0.02723	0.5509
Sporolactobacillus kofuensis	0.9290	0.9064	0.02692	0.8395
Terrilactibacillus laevilacticus	0.8891	0.9089	0.02705	0.7320
Sporolactobacillus spathodeae	0.9321	0.9063	0.02675	0.9645
Sporolactobacillus laevolacticus	0.9189	0.9071	0.02732	0.4319
Sporolactobacillus shoreae	0.9197	0.9070	0.0273	0.4652
Sporolactobacillus vineae	0.8676	0.9103	0.02545	1.678
