Staphylococcus pseudintermedius	0.9211	0.9041	0.02062	0.8244
Salinicoccus kunmingensis	0.8796	0.9045	0.02053	1.213
Staphylococcus delphini	0.9216	0.9041	0.02061	0.8491
Salinicoccus sediminis	0.8766	0.9046	0.02049	1.367
Staphylococcus cohnii subsp. cohnii	0.9246	0.9041	0.02058	0.9961
Macrococcus caseolyticus	0.9064	0.9042	0.02069	0.1063
Staphylococcus stepanovicii	0.9206	0.9041	0.02062	0.8002
Macrococcus hajekii	0.9067	0.9042	0.02069	0.1208
Salinicoccus jeotgali	0.8813	0.9045	0.02055	1.129
Staphylococcus saprophyticus subsp. bovis	0.9244	0.9041	0.02059	0.9859
Jeotgalicoccus halophilus	0.8768	0.9046	0.02050	1.356
Auricoccus indicus	0.8727	0.9046	0.02044	1.561
Staphylococcus vitulinus	0.9142	0.9042	0.02066	0.4840
Staphylococcus carnosus subsp. carnosus	0.9227	0.9041	0.02060	0.9029
Staphylococcus carnosus subsp. utilis	0.9191	0.9041	0.02063	0.7271
Salinicoccus halodurans	0.8709	0.9046	0.02041	1.651
Staphylococcus nepalensis	0.9208	0.9041	0.02062	0.8099
Jeotgalicoccus halotolerans	0.8799	0.9045	0.02054	1.198
Staphylococcus massiliensis	0.9181	0.9041	0.02064	0.6783
Abyssicoccus albus	0.8732	0.9046	0.02044	1.536
Staphylococcus simiae	0.9261	0.9040	0.02057	1.074
Nosocomiicoccus ampullae	0.8647	0.9047	0.02029	1.971
Staphylococcus aureus subsp. aureus	0.9266	0.9040	0.02056	1.099
Staphylococcus intermedius	0.9248	0.9041	0.02058	1.006
Staphylococcus succinus subsp. succinus	0.9246	0.9041	0.02058	0.9961
Jeotgalicoccus pinnipedialis	0.8733	0.9046	0.02044	1.531
Staphylococcus petrasii subsp. jettensis	0.9308	0.9040	0.02051	1.307
Staphylococcus argenteus	0.9253	0.9041	0.02058	1.030
Staphylococcus auricularis	0.9232	0.9041	0.02060	0.9272
Macrococcus equipercicus	0.9074	0.9042	0.02069	0.1547
Salinicoccus albus	0.8513	0.9048	0.01997	2.679
Staphylococcus petrasii subsp. petrasii	0.9309	0.9040	0.02051	1.312
Staphylococcus kloosii	0.9207	0.9041	0.02062	0.8050
Staphylococcus aureus subsp. anaerobius	0.9231	0.9041	0.02060	0.9223
Staphylococcus piscifermentans	0.9220	0.9041	0.02061	0.8685
Staphylococcus capitis subsp. capitis	0.9263	0.9040	0.02057	1.084
Salinicoccus carnicancri	0.8804	0.9045	0.02054	1.173
Staphylococcus caprae	0.9253	0.9041	0.02058	1.030
Staphylococcus gallinarum	0.9232	0.9041	0.02060	0.9272
Staphylococcus devriesei	0.9248	0.9041	0.02058	1.006
Staphylococcus equorum subsp. equorum	0.9149	0.9042	0.02066	0.5179
Staphylococcus chromogenes	0.9197	0.9041	0.02063	0.7562
Salinicoccus sesuvii	0.8808	0.9045	0.02055	1.153
Staphylococcus schleiferi subsp. schleiferi	0.9189	0.9041	0.02063	0.7174
Salinicoccus iranensis	0.8381	0.9050	0.01955	3.422
Staphylococcus lutrae	0.9168	0.9041	0.02065	0.6150
Salinicoccus qingdaonensis	0.8870	0.9044	0.02061	0.8443
Staphylococcus epidermidis	0.9262	0.9040	0.02057	1.079
Staphylococcus xylosus	0.9230	0.9041	0.02060	0.9175
Staphylococcus haemolyticus	0.9214	0.9041	0.02061	0.8394
Staphylococcus agnetis	0.9197	0.9041	0.02063	0.7562
Staphylococcus saccharolyticus	0.9130	0.9042	0.02067	0.4257
Staphylococcus condimenti	0.9180	0.9041	0.02064	0.6734
Staphylococcus sciuri	0.9164	0.9041	0.02065	0.5956
Salinicoccus halitifaciens	0.8865	0.9045	0.02061	0.8734
Staphylococcus hominis subsp. novobiosepticus	0.9187	0.9041	0.02064	0.7074
Macrococcus bovicus	0.9080	0.9042	0.02068	0.1838
Staphylococcus rostri	0.9083	0.9042	0.02068	0.1983
Jeotgalicoccus nanhaiensis	0.8858	0.9045	0.02060	0.9078
Macrococcus lamae	0.9041	0.9043	0.02069	0.009667
Staphylococcus pasteuri	0.9178	0.9041	0.02064	0.6638
Staphylococcus succinus subsp. casei	0.9120	0.9042	0.02067	0.3774
Staphylococcus lentus	0.9109	0.9042	0.02068	0.3240
Salinicoccus siamensis	0.8716	0.9046	0.02042	1.616
Staphylococcus petrasii subsp. pragensis	0.9208	0.9041	0.02062	0.8099
Staphylococcus equorum subsp. linens	0.9116	0.9042	0.02067	0.3580
Corticicoccus populi	0.8766	0.9046	0.02049	1.367
Salinicoccus luteus	0.8515	0.9048	0.01997	2.669
Salinicoccus hispanicus	0.8798	0.9045	0.02054	1.203
Nosocomiicoccus massiliensis	0.8755	0.9046	0.02048	1.421
Staphylococcus microti	0.9215	0.9041	0.02061	0.8443
Staphylococcus hominis subsp. hominis	0.9234	0.9041	0.02060	0.9369
Staphylococcus cohnii subsp. urealyticus	0.9184	0.9041	0.02064	0.6928
Staphylococcus capitis subsp. urealyticus	0.9166	0.9041	0.02065	0.6053
Staphylococcus petrasii subsp. croceilyticus	0.9187	0.9041	0.02064	0.7074
Macrococcus brunensis	0.9066	0.9042	0.02069	0.1160
Staphylococcus schleiferi subsp. coagulans	0.9088	0.9042	0.02068	0.2224
Staphylococcus fleurettii	0.9029	0.9043	0.02069	0.06767
Salinicoccus salsiraiae	0.8815	0.9045	0.02056	1.119
Jeotgalicoccus coquinae	0.8964	0.9044	0.02067	0.3870
Staphylococcus arlettae	0.9123	0.9042	0.02067	0.3919
Staphylococcus pettenkoferi	0.9065	0.9042	0.02069	0.1112
Salinicoccus amylolyticus	0.8874	0.9044	0.02062	0.8244
Jeotgalicoccus marinus	0.8905	0.9044	0.02064	0.6734
Staphylococcus felis	0.9147	0.9042	0.02066	0.5082
Staphylococcus simulans	0.9081	0.9042	0.02068	0.1886
Macrococcus canis	0.9065	0.9042	0.02069	0.1112
Staphylococcus muscae	0.9052	0.9043	0.02069	0.04350
Staphylococcus saprophyticus subsp. saprophyticus	0.9056	0.9043	0.02069	0.06283
Staphylococcus warneri	0.8953	0.9044	0.02067	0.4403
Jeotgalicoccus aerolatus	0.9115	0.9042	0.02067	0.3532
Jeotgalicoccus schoeneichii	0.8814	0.9045	0.02056	1.124
Jeotgalicoccus psychrophilus	0.8858	0.9045	0.02060	0.9078
Staphylococcus hyicus	0.8918	0.9044	0.02065	0.6102
Jeotgalicoccus huakuii	0.8853	0.9045	0.02060	0.9320
Salinicoccus alkaliphilus	0.8989	0.9043	0.02068	0.2611
Salinicoccus roseus	0.8842	0.9045	0.02059	0.9859
Macrococcus carouselicus	0.9131	0.9042	0.02067	0.4306
