Thermanaerovibrio velox	0.8147	0.7999	0.02473	0.5985
Aminobacterium colombiense	0.8146	0.7999	0.02473	0.5944
Dethiosulfovibrio peptidovorans	0.8283	0.7992	0.02408	1.208
Aminivibrio pyruvatiphilus	0.8077	0.8003	0.02489	0.2973
Aminobacterium mobile	0.7785	0.8018	0.02440	0.9549
Lactivibrio alcoholicus	0.8056	0.8004	0.02492	0.2087
Cloacibacillus porcorum	0.7913	0.8011	0.02485	0.3944
Fretibacterium fastidiosum	0.7795	0.8018	0.02445	0.9121
Synergistes jonesii	0.7689	0.8023	0.02380	1.403
Thermanaerovibrio acidaminovorans	0.7975	0.8008	0.02494	0.1323
Dethiosulfovibrio russensis	0.8508	0.7980	0.02198	2.402
Jonquetella anthropi	0.8015	0.8006	0.02495	0.03607
Cloacibacillus evryensis	0.7633	0.8026	0.02335	1.683
Dethiosulfovibrio acidaminovorans	0.8425	0.7984	0.02292	1.924
Aminobacterium thunnarium	0.7993	0.8007	0.02495	0.05611
Dethiosulfovibrio salsuginis	0.8048	0.8004	0.02493	0.1765
Aminiphilus circumscriptus	0.7555	0.8030	0.02257	2.105
Thermovirga lienii	0.7846	0.8015	0.02466	0.6853
Rarimicrobium hominis	0.8246	0.7994	0.02430	1.037
Dethiosulfovibrio marinus	0.7995	0.8007	0.02495	0.04810
