Risungbinella massiliensis	0.8676	0.8841	0.01735	0.9510
Melghirimyces algeriensis	0.8930	0.8834	0.01748	0.5492
Desmospora profundinema	0.8858	0.8836	0.01754	0.1254
Desmospora activa	0.8884	0.8835	0.01753	0.2795
Thermoactinomyces vulgaris	0.8949	0.8833	0.01745	0.6648
Seinonella peptonophila	0.8553	0.8844	0.01692	1.720
Kroppenstedtia sanguinis	0.8858	0.8836	0.01754	0.1254
Mechercharimyces mesophilus	0.8754	0.8839	0.01750	0.4857
Baia soyae	0.8525	0.8845	0.01678	1.907
Thermoactinomyces khenchelensis	0.8945	0.8834	0.01746	0.6357
Salinithrix halophila	0.8860	0.8836	0.01754	0.1368
Melghirimyces thermohalophilus	0.8911	0.8834	0.01750	0.44
Marinithermofilum abyssi	0.8969	0.8833	0.01741	0.7812
Hazenella coriacea	0.8911	0.8834	0.01750	0.44
Laceyella tengchongensis	0.8965	0.8833	0.01742	0.7577
Melghirimyces profundicolus	0.8792	0.8838	0.01753	0.2624
Risungbinella pyongyangensis	0.8642	0.8842	0.01725	1.159
Geothermomicrobium terrae	0.8673	0.8841	0.01734	0.9689
Marininema halotolerans	0.8776	0.8838	0.01752	0.3539
Polycladomyces abyssicola	0.8925	0.8834	0.01749	0.5203
Planifilum composti	0.8904	0.8835	0.01751	0.3941
Croceifilum oryzae	0.8473	0.8846	0.01650	2.261
Kroppenstedtia guangzhouensis	0.8941	0.8834	0.01746	0.6128
Thermoactinomyces intermedius	0.8959	0.8833	0.01743	0.7229
Shimazuella kribbensis	0.8485	0.8846	0.01657	2.179
Marininema mesophilum	0.8761	0.8838	0.01750	0.44
Thermoactinomyces daqus	0.8966	0.8833	0.01742	0.7635
Mechercharimyces asporophorigenens	0.8633	0.8842	0.01723	1.213
Planifilum yunnanense	0.8999	0.8832	0.01734	0.9631
Lihuaxuella thermophila	0.8930	0.8834	0.01748	0.5492
Thermoflavimicrobium dichotomicum	0.8813	0.8837	0.01754	0.1368
Novibacillus thermophilus	0.8530	0.8844	0.01681	1.868
Laceyella sediminis	0.9001	0.8832	0.01734	0.9746
Laceyella putida	0.8829	0.8837	0.01755	0.04558
Kroppenstedtia pulmonis	0.8952	0.8833	0.01744	0.6823
Laceyella sacchari	0.8765	0.8838	0.01751	0.4169
Paludifilum halophilum	0.8958	0.8833	0.01743	0.7172
Planifilum fulgidum	0.9285	0.8825	0.01592	2.889
Kroppenstedtia eburnea	0.9079	0.8830	0.01709	1.457
