Thermanaeromonas burensis	0.8268	0.8327	0.03318	0.1778
Moorella thermoacetica	0.8181	0.8329	0.03312	0.4469
Caldanaerobius zeae	0.7898	0.8335	0.03257	1.342
Thermoanaerobacter sulfurigignens	0.8571	0.8320	0.03299	0.7608
Carboxydothermus islandicus	0.8130	0.8330	0.03306	0.6050
Ammonifex thiophilus	0.8097	0.8331	0.03301	0.7089
Thermoanaerobacter thermocopriae	0.8577	0.8320	0.03298	0.7793
Brockia lithotrophica	0.7967	0.8334	0.03276	1.120
Thermanaeromonas toyohensis	0.8273	0.8327	0.03318	0.1627
Thermoanaerobacter acetoethylicus	0.8557	0.8321	0.03301	0.7149
Thermoanaerobacter italicus	0.8492	0.8322	0.0331	0.5136
Moorella glycerini	0.8307	0.8326	0.03319	0.05725
Ammonifex degensii	0.8096	0.8331	0.03301	0.7119
Thermoanaerobacter kivui	0.8512	0.8322	0.03307	0.5745
Caldanaerobacter subterraneus subsp. subterraneus	0.8356	0.8325	0.03319	0.09340
Tepidanaerobacter syntrophicus	0.7723	0.8339	0.03195	1.928
Caldanaerobacter subterraneus subsp. yonseiensis	0.8478	0.8322	0.03311	0.4712
Carboxydothermus pertinax	0.8101	0.8331	0.03302	0.6965
Thermoanaerobacter sulfurophilus	0.8620	0.8319	0.0329	0.9149
Moorella thermoautotrophica	0.8273	0.8327	0.03318	0.1627
Thermoanaerobacter uzonensis	0.8610	0.8320	0.03292	0.8809
Thermoanaerobacter wiegelii	0.8642	0.8319	0.03285	0.9833
Carboxydothermus siderophilus	0.7984	0.8333	0.0328	1.064
Thermoanaerobacter brockii subsp. lactiethylicus	0.8522	0.8321	0.03306	0.6080
Gelria glutamica	0.7773	0.8338	0.03215	1.757
Moorella mulderi	0.7959	0.8334	0.03274	1.145
Carboxydothermus hydrogenoformans	0.8052	0.8332	0.03294	0.8500
Carboxydothermus ferrireducens	0.7841	0.8336	0.03239	1.528
Thermoanaerobacter pseudethanolicus	0.8807	0.8315	0.0324	1.519
Moorella stamsii	0.8043	0.8332	0.03292	0.8779
Thermoanaerobacter ethanolicus	0.8596	0.8320	0.03294	0.8379
Thermoanaerobacter pentosaceus	0.8563	0.8321	0.0330	0.7333
Calderihabitans maritimus	0.8177	0.8329	0.03311	0.4591
Thermoanaerobacter mathranii subsp. mathranii	0.8642	0.8319	0.03285	0.9833
Caldanaerobius polysaccharolyticus	0.8061	0.8331	0.03295	0.8194
Thermoanaerobacter brockii subsp. brockii	0.8715	0.8317	0.03268	1.218
Caldanaerobius fijiensis	0.8005	0.8333	0.03284	0.9988
Caloribacterium cisternae	0.7733	0.8339	0.03199	1.894
Thermodesulfitimonas autotrophica	0.8138	0.8330	0.03307	0.5806
Desulfovirgula thermocuniculi	0.8275	0.8327	0.03318	0.1567
Thermacetogenium phaeum	0.8121	0.8330	0.03305	0.6324
Thermoanaerobacter thermohydrosulfuricus	0.8913	0.8313	0.03201	1.874
Thermoanaerobacter brockii subsp. finnii	0.8891	0.8313	0.0321	1.801
Caldanaerobacter subterraneus subsp. tengcongensis	0.8811	0.8315	0.03239	1.531
Moorella humiferrea	0.8303	0.8326	0.03319	0.06930
Thermoanaerobacter siderophilus	0.8899	0.8313	0.03207	1.827
Caldanaerobacter uzonensis	0.8755	0.8316	0.03257	1.348
