Thermococcus barossii	0.9689	0.9550	0.01386	1.003
Thermococcus alcaliphilus	0.9502	0.9555	0.01401	0.3783
Thermococcus peptonophilus	0.9681	0.9550	0.01388	0.9438
Thermococcus atlanticus	0.9390	0.9558	0.01378	1.219
Thermococcus sibiricus	0.9371	0.9558	0.01372	1.363
Palaeococcus pacificus	0.9327	0.9559	0.01355	1.712
Thermococcus thioreducens	0.9608	0.9552	0.01401	0.3997
Thermococcus paralvinellae	0.9613	0.9552	0.01400	0.4357
Pyrococcus furiosus	0.9560	0.9553	0.01404	0.04986
Thermococcus fumicolans	0.9669	0.9550	0.01391	0.8555
Pyrococcus yayanosii	0.9422	0.9557	0.01387	0.9733
Thermococcus waiotapuensis	0.9534	0.9554	0.01403	0.1426
Pyrococcus horikoshii	0.9503	0.9555	0.01401	0.3712
Thermococcus coalescens	0.9723	0.9549	0.01376	1.265
Thermococcus piezophilus	0.9676	0.9550	0.01389	0.9071
Thermococcus nautili	0.9668	0.9550	0.01391	0.8483
Thermococcus barophilus	0.9499	0.9555	0.01401	0.3997
Thermococcus profundus	0.9660	0.9551	0.01393	0.7825
Thermococcus gammatolerans	0.9624	0.9552	0.01399	0.5147
Thermococcus gorgonarius	0.9674	0.9550	0.01390	0.8921
Thermococcus aegaeus	0.9523	0.9554	0.01403	0.2210
Palaeococcus helgesonii	0.9143	0.9564	0.01236	3.406
Thermococcus celericrescens	0.9633	0.9551	0.01398	0.5866
Thermococcus chitonophagus	0.9449	0.9556	0.01393	0.7681
Thermococcus eurythermalis	0.9652	0.9551	0.01394	0.7245
Thermococcus aggregans	0.9491	0.9555	0.01400	0.4571
Thermococcus guaymasensis	0.9655	0.9551	0.01394	0.7461
Thermococcus siculi	0.9667	0.9550	0.01391	0.8411
Thermococcus zilligii	0.9449	0.9556	0.01393	0.7681
Thermococcus prieurii	0.9602	0.9552	0.01401	0.3569
Thermococcus celer	0.9676	0.9550	0.01389	0.9071
Thermococcus acidaminovorans	0.9575	0.9553	0.01403	0.1568
Thermococcus cleftensis	0.9644	0.9551	0.01396	0.6662
Palaeococcus ferrophilus	0.9117	0.9565	0.01212	3.696
Thermococcus kodakarensis	0.9704	0.9550	0.01382	1.114
Pyrococcus glycovorans	0.9488	0.9555	0.01400	0.4786
Thermococcus hydrothermalis	0.9648	0.9551	0.01395	0.6953
Thermococcus stetteri	0.9576	0.9553	0.01403	0.1639
Pyrococcus kukulkanii	0.9531	0.9554	0.01403	0.1639
Thermococcus litoralis	0.9520	0.9554	0.01403	0.2423
