Actinomadura amylolytica	0.9289	0.9332	0.01059	0.4060
Actinomadura napierensis	0.9473	0.9330	0.01049	1.363
Actinomadura scrupuli	0.9301	0.9332	0.01060	0.2925
Actinomadura latina	0.9217	0.9333	0.01053	1.102
Actinomadura oligospora	0.9338	0.9332	0.01060	0.05660
Actinomadura syzygii	0.9447	0.9330	0.01053	1.111
Actinomadura cremea subsp. cremea	0.9376	0.9331	0.01059	0.4249
Actinomadura yumaensis	0.9410	0.9331	0.01057	0.7474
Actinomadura citrea	0.9446	0.9330	0.01053	1.102
Actinoallomurus coprocola	0.9282	0.9332	0.01059	0.4721
Actinomadura sporangiiformans	0.9455	0.9330	0.01052	1.188
Actinomadura viridilutea	0.9245	0.9333	0.01056	0.8333
Actinocorallia glomerata	0.9299	0.9332	0.01060	0.3113
Actinocorallia cavernae	0.9204	0.9333	0.01051	1.227
Actinomadura adrarensis	0.9363	0.9331	0.01060	0.3019
Actinomadura meridiana	0.9284	0.9332	0.01059	0.4533
Actinomadura echinospora	0.9380	0.9331	0.01059	0.4627
Actinomadura rugatobispora	0.9402	0.9331	0.01058	0.6711
Actinomadura nitritigenes	0.9443	0.9330	0.01054	1.072
Spirillospora albida	0.9412	0.9331	0.01057	0.7663
Actinomadura xylanilytica	0.9380	0.9331	0.01059	0.4627
Actinomadura glauciflava	0.9476	0.9330	0.01049	1.392
Actinocorallia libanotica	0.9261	0.9333	0.01058	0.6805
Actinoallomurus yoronensis	0.9281	0.9332	0.01059	0.4816
Actinomadura catellatispora	0.9088	0.9334	0.01027	2.395
Actinomadura pelletieri	0.9306	0.9332	0.01060	0.2453
Actinomadura rifamycini	0.9307	0.9332	0.01060	0.2358
Actinomadura viridis	0.9436	0.9330	0.01054	1.006
Actinoallomurus oryzae	0.9307	0.9332	0.01060	0.2358
Actinomadura apis	0.9355	0.9331	0.01060	0.2264
Actinoallomurus bryophytorum	0.9246	0.9333	0.01056	0.8239
Actinomadura formosensis	0.9438	0.9330	0.01054	1.025
Actinomadura coerulea	0.9421	0.9331	0.01056	0.8523
Actinocorallia aurea	0.9289	0.9332	0.01059	0.4060
Actinomadura sputi	0.9350	0.9331	0.01060	0.1792
Actinomadura sediminis	0.9394	0.9331	0.01058	0.5955
Actinomadura namibiensis	0.9345	0.9332	0.01060	0.1226
Actinomadura mexicana	0.9447	0.9330	0.01053	1.111
Spirillospora rubra	0.9352	0.9331	0.01060	0.1981
Actinomadura luteofluorescens	0.9384	0.9331	0.01059	0.5005
Actinoallomurus luridus	0.9265	0.9332	0.01058	0.6333
Actinoallomurus acanthiterrae	0.9313	0.9332	0.01060	0.1792
Actinoallomurus liliacearum	0.9191	0.9333	0.01049	1.354
Actinoallomurus amamiensis	0.9288	0.9332	0.01059	0.4155
Actinomadura hibisca	0.9443	0.9330	0.01054	1.072
Actinoallomurus radicium	0.9189	0.9333	0.01049	1.373
Thermomonospora chromogena	0.8933	0.9336	0.009693	4.158
Actinomadura bangladeshensis	0.9501	0.9330	0.01045	1.636
Actinoallomurus purpureus	0.9260	0.9333	0.01058	0.6900
Actinomadura livida	0.9490	0.9330	0.01047	1.528
Actinomadura madurae	0.9486	0.9330	0.01047	1.490
Actinomadura meyerae	0.9402	0.9331	0.01058	0.6711
Thermomonospora curvata	0.9103	0.9334	0.01031	2.241
Actinomadura fulvescens	0.9432	0.9331	0.01055	0.9573
Actinomadura hallensis	0.9365	0.9331	0.01060	0.3208
Actinoallomurus spadix	0.9285	0.9332	0.01059	0.4438
Actinomadura geliboluensis	0.9482	0.9330	0.01048	1.450
Actinomadura fibrosa	0.9400	0.9331	0.01058	0.6522
Actinomadura keratinilytica	0.9353	0.9331	0.01060	0.2075
Actinomadura chibensis	0.9307	0.9332	0.01060	0.2358
Actinomadura umbrina	0.9257	0.9333	0.01057	0.7190
Actinoallomurus acaciae	0.9229	0.9333	0.01055	0.9858
Actinomadura montaniterrae	0.9516	0.9330	0.01042	1.785
Actinoallomurus iriomotensis	0.9209	0.9333	0.01052	1.179
Actinomadura verrucosospora	0.9378	0.9331	0.01059	0.4438
Actinoallomurus fulvus	0.9202	0.9333	0.01051	1.246
Actinoallomurus vinaceus	0.9165	0.9334	0.01045	1.617
Actinoallomurus caesius	0.9167	0.9334	0.01045	1.598
Actinomadura gamaensis	0.9429	0.9331	0.01055	0.9289
Actinomadura vinacea	0.9432	0.9331	0.01055	0.9573
Actinomadura macra	0.9351	0.9331	0.01060	0.1887
Actinomadura cellulosilytica	0.9276	0.9332	0.01059	0.5288
Actinocorallia aurantiaca	0.9271	0.9332	0.01058	0.5766
Actinomadura atramentaria	0.9341	0.9332	0.01060	0.08491
Actinomadura jiaoheensis	0.9435	0.9331	0.01055	0.9858
Actinomadura kijaniata	0.9397	0.9331	0.01058	0.6238
Actinomadura rubrobrunea	0.9257	0.9333	0.01057	0.7190
Actinomadura alba	0.9173	0.9334	0.01046	1.539
Actinocorallia herbida	0.9336	0.9332	0.01060	0.03774
Actinomadura miaoliensis	0.9415	0.9331	0.01057	0.7947
Actinomadura flavalba	0.9292	0.9332	0.01060	0.3774
Actinomadura chokoriensis	0.9397	0.9331	0.01058	0.6238
Actinomadura darangshiensis	0.9416	0.9331	0.01056	0.8049
Actinocorallia lasiicapitis	0.9314	0.9332	0.01060	0.1698
Actinomadura rupiterrae	0.9275	0.9332	0.01059	0.5382
Actinomadura rudentiformis	0.9378	0.9331	0.01059	0.4438
Actinomadura algeriensis	0.9347	0.9332	0.01060	0.1415
Actinomadura rayongensis	0.9117	0.9334	0.01035	2.097
