Leucothrix pacifica	0.8242	0.8368	0.02328	0.5412
Thiothrix fructosivorans	0.8707	0.8329	0.02108	1.793
Thiothrix flexilis	0.8462	0.8350	0.02333	0.4801
Thiothrix unzii	0.8445	0.8351	0.02340	0.4017
Leucothrix mucor	0.8215	0.8370	0.02314	0.6698
Thiothrix eikelboomii	0.8551	0.8342	0.02282	0.9159
Thiothrix defluvii	0.8380	0.8357	0.02353	0.09775
Thiothrix caldifontis	0.8631	0.8336	0.02207	1.337
Beggiatoa alba	0.8348	0.8359	0.02354	0.04673
Thiothrix lacustris	0.8465	0.8350	0.02332	0.4931
Beggiatoa leptomitoformis	0.7868	0.8399	0.01836	2.892
Thiothrix nivea	0.8344	0.8360	0.02354	0.06797
Cocleimonas flava	0.8002	0.8388	0.02096	1.842
