Thiomonas delicata	0.8851	0.9025	0.01669	1.043
Sphaerotilus hippei	0.9154	0.9018	0.01678	0.8105
Sphaerotilus natans subsp. sulfidivorans	0.9165	0.9017	0.01675	0.8836
Thiomonas perometabolis	0.8917	0.9024	0.01683	0.6358
Mitsuaria chitosanitabida	0.9179	0.9017	0.01672	0.9689
Aquabacterium olei	0.9188	0.9017	0.01670	1.024
Inhella fonticola	0.9101	0.9019	0.01686	0.4864
Aquabacterium citratiphilum	0.9095	0.9019	0.01687	0.4505
Piscinibacter defluvii	0.9174	0.9017	0.01673	0.9384
Tepidimonas ignava	0.8980	0.9022	0.0169	0.2485
Leptothrix discophora	0.9200	0.9017	0.01667	1.098
Thiomonas thermosulfata	0.8858	0.9025	0.01671	0.9994
Leptothrix mobilis	0.9245	0.9015	0.01653	1.391
Aquabacterium limnoticum	0.9140	0.9018	0.0168	0.7262
Ideonella sakaiensis	0.9212	0.9016	0.01663	1.179
Rubrivivax gelatinosus	0.9190	0.9017	0.01669	1.037
Thiomonas bhubaneswarensis	0.8752	0.9028	0.01635	1.688
Sphaerotilus natans	0.9101	0.9019	0.01686	0.4864
Tepidimonas thermarum	0.9015	0.9021	0.01691	0.03548
Aquincola tertiaricarbonis	0.9228	0.9016	0.01658	1.279
Sphaerotilus montanus	0.9053	0.9020	0.01690	0.1953
Tepidimonas fonticaldi	0.8935	0.9023	0.01685	0.5223
Ideonella paludis	0.9097	0.9019	0.01687	0.4624
Xylophilus ampelinus	0.8837	0.9026	0.01665	1.135
Aquabacterium fontiphilum	0.9055	0.9020	0.0169	0.2071
Tepidimonas aquatica	0.8882	0.9024	0.01676	0.8473
Methylibium petroleiphilum	0.9134	0.9018	0.01681	0.6901
Piscinibacter aquaticus	0.9125	0.9018	0.01683	0.6358
Aquabacterium parvum	0.9061	0.9020	0.01690	0.2426
Ideonella dechloratans	0.9082	0.9019	0.01688	0.3732
Thiomonas islandica	0.8938	0.9023	0.01686	0.5042
Inhella inkyongensis	0.8994	0.9022	0.01690	0.1657
Rubrivivax benzoatilyticus	0.8990	0.9022	0.01690	0.1893
Thiobacter subterraneus	0.8473	0.9035	0.01446	3.887
Piscinibacterium candidicorallinum	0.8735	0.9028	0.01628	1.800
Thiomonas arsenitoxydans	0.8935	0.9023	0.01685	0.5223
Paucibacter toxinivorans	0.8962	0.9022	0.01688	0.3555
Tepidimonas taiwanensis	0.8742	0.9028	0.01631	1.754
Aquabacterium commune	0.9126	0.9018	0.01683	0.6417
Thiomonas intermedia	0.8786	0.9027	0.01649	1.461
Rivibacter subsaxonicus	0.9173	0.9017	0.01673	0.9325
