Alkalimonas collagenimarina	0.8319	0.8188	0.01818	0.7206
Gallaecimonas xiamenensis	0.8298	0.8189	0.01826	0.5969
Methylohalomonas lacus	0.8196	0.8195	0.01843	0.005426
Sedimenticola thiotaurini	0.8336	0.8187	0.01810	0.8232
Thiohalorhabdus denitrificans	0.7690	0.8225	0.01344	3.981
Plesiomonas shigelloides	0.8165	0.8197	0.01842	0.1737
Litorivivens lipolytica	0.8259	0.8192	0.01837	0.3647
Sedimenticola selenatireducens	0.8302	0.8189	0.01824	0.6195
Gallaecimonas pentaromativorans	0.8189	0.8196	0.01843	0.03798
Arsukibacterium ikkense	0.8199	0.8195	0.01843	0.02170
Thiohalomonas nitratireducens	0.8454	0.8180	0.01727	1.587
Alkalimonas delamerensis	0.8156	0.8198	0.01841	0.2281
Thiohalomonas denitrificans	0.8313	0.8189	0.01820	0.6813
Plasticicumulans lactativorans	0.8446	0.8181	0.01734	1.528
Plasticicumulans acidivorans	0.8144	0.8198	0.01839	0.2936
Thiolapillus brandeum	0.8108	0.8201	0.01831	0.5079
Alkalimonas amylolytica	0.7921	0.8212	0.01712	1.700
Thiohalobacter thiocyanaticus	0.8023	0.8206	0.01793	1.021
