Megasphaera indica	0.8656	0.8698	0.02475	0.1697
Veillonella dispar	0.8950	0.8686	0.02424	1.089
Megasphaera elsdenii	0.8471	0.8705	0.02435	0.9610
Megasphaera massiliensis	0.8588	0.8700	0.02467	0.4540
Allisonella histaminiformans	0.8418	0.8707	0.02413	1.198
Megasphaera micronuciformis	0.8740	0.8694	0.02475	0.1859
Veillonella denticariosi	0.8999	0.8684	0.02401	1.312
Dialister invisus	0.8516	0.8703	0.02450	0.7633
Veillonella atypica	0.8974	0.8685	0.02413	1.198
Dialister pneumosintes	0.8328	0.8710	0.02365	1.615
Veillonella rogosae	0.8992	0.8685	0.02405	1.277
Veillonella criceti	0.8885	0.8689	0.02448	0.8007
Dialister propionicifaciens	0.8520	0.8703	0.02451	0.7466
Dialister succinatiphilus	0.8423	0.8707	0.02416	1.175
Veillonella seminalis	0.8998	0.8684	0.02402	1.307
Veillonella caviae	0.8939	0.8687	0.02429	1.037
Veillonella magna	0.8832	0.8691	0.02462	0.5727
Veillonella tobetsuensis	0.8858	0.8690	0.02455	0.6843
Veillonella parvula	0.8720	0.8695	0.02476	0.1010
Megasphaera cerevisiae	0.8675	0.8697	0.02476	0.08885
Veillonella rodentium	0.8714	0.8695	0.02476	0.07674
Veillonella ratti	0.8553	0.8702	0.02460	0.6057
Veillonella montpellierensis	0.8320	0.8711	0.02360	1.657
Megasphaera sueciensis	0.8931	0.8687	0.02432	1.003
Dialister micraerophilus	0.8421	0.8707	0.02415	1.184
Negativicoccus succinicivorans	0.8279	0.8712	0.02332	1.857
Anaeroglobus geminatus	0.9094	0.8681	0.02345	1.761
