Haloferula harenae	0.8518	0.8294	0.01906	1.175
Haloferula sargassicola	0.8444	0.8297	0.01934	0.7601
Luteolibacter pohnpeiensis	0.8455	0.8296	0.01931	0.8234
Prosthecobacter fluviatilis	0.8250	0.8304	0.01953	0.2765
Roseibacillus ishigakijimensis	0.8243	0.8305	0.01952	0.3176
Haloferula rosea	0.8432	0.8297	0.01938	0.6966
Verrucomicrobium spinosum	0.8232	0.8305	0.01950	0.3744
Haloferula helveola	0.8373	0.8299	0.01950	0.3795
Prosthecobacter debontii	0.8198	0.8306	0.01944	0.5556
Luteolibacter flavescens	0.8421	0.8298	0.01941	0.6337
Prosthecobacter fusiformis	0.8261	0.8304	0.01954	0.2201
Roseimicrobium gellanilyticum	0.8059	0.8312	0.01892	1.337
Haloferula luteola	0.8427	0.8297	0.01939	0.6704
Haloferula phyci	0.8377	0.8299	0.01950	0.4
Luteolibacter algae	0.8510	0.8294	0.01909	1.131
Luteolibacter arcticus	0.8296	0.8303	0.01956	0.03579
Brevifollis gellanilyticus	0.8289	0.8303	0.01956	0.07157
Prosthecobacter algae	0.8175	0.8307	0.01938	0.6811
Prosthecobacter vanneervenii	0.7968	0.8316	0.01833	1.899
Haloferula chungangensis	0.8356	0.8300	0.01953	0.2867
Persicirhabdus sediminis	0.8226	0.8305	0.01950	0.4051
Roseibacillus ponti	0.8366	0.8300	0.01951	0.3383
Luteolibacter cuticulihirudinis	0.8588	0.8291	0.01867	1.591
Luteolibacter luojiensis	0.8607	0.8290	0.01854	1.710
Luteolibacter yonseiensis	0.8027	0.8313	0.01873	1.527
Roseibacillus persicicus	0.7762	0.8324	0.01616	3.478
