Serratia odorifera	0.9441	0.9530	0.008425	1.056
Yersinia ruckeri	0.9606	0.9526	0.008444	0.9474
Yersinia enterocolitica subsp. palearctica	0.9542	0.9527	0.008523	0.1760
Serratia marcescens subsp. sakuensis	0.9479	0.9529	0.008494	0.5887
Yersinia similis	0.9578	0.9527	0.008492	0.6006
Yersinia aldovae	0.9614	0.9526	0.008426	1.044
Yersinia mollaretii	0.9611	0.9526	0.008433	1.008
Rahnella bruchi	0.9654	0.9525	0.008311	1.552
Rahnella aquatilis	0.9475	0.9529	0.008489	0.6361
Serratia ficaria	0.9573	0.9527	0.008499	0.5412
Yersinia rohdei	0.9587	0.9526	0.008479	0.7194
Yersinia frederiksenii	0.9596	0.9526	0.008464	0.8270
Yersinia wautersii	0.9547	0.9527	0.008521	0.2347
Rahnella victoriana	0.9635	0.9525	0.008371	1.314
Rouxiella badensis	0.9633	0.9525	0.008377	1.289
Yersinia pestis	0.9528	0.9528	0.008526	0E+2
Serratia ureilytica	0.9388	0.9531	0.008262	1.731
Serratia symbiotica	0.9411	0.9530	0.008343	1.426
Yersinia massiliensis	0.9562	0.9527	0.00851	0.4113
Serratia quinivorans	0.9638	0.9525	0.008362	1.351
Yersinia enterocolitica subsp. enterocolitica	0.9563	0.9527	0.008509	0.4231
Rahnella variigena	0.9597	0.9526	0.008462	0.8390
Serratia liquefaciens	0.9559	0.9527	0.008513	0.3759
Serratia proteamaculans	0.9612	0.9526	0.008431	1.020
Yersinia nurmii	0.9539	0.9527	0.008524	0.1408
Serratia nematodiphila	0.9461	0.9529	0.008467	0.8031
Rouxiella chamberiensis	0.9551	0.9527	0.008519	0.2817
Rouxiella silvae	0.9578	0.9527	0.008492	0.6006
Serratia grimesii	0.9588	0.9526	0.008477	0.7314
Yersinia aleksiciae	0.9536	0.9528	0.008525	0.09384
Serratia myotis	0.9529	0.9528	0.008526	0.01173
Yersinia intermedia	0.9582	0.9526	0.008487	0.6598
Serratia marcescens subsp. marcescens	0.9411	0.9530	0.008343	1.426
Serratia aquatilis	0.9497	0.9528	0.008513	0.3641
Serratia fonticola	0.9494	0.9528	0.008511	0.3995
Serratia vespertilionis	0.9339	0.9532	0.008038	2.401
Yersinia bercovieri	0.9580	0.9527	0.008489	0.6243
Yersinia pseudotuberculosis	0.9511	0.9528	0.008522	0.1995
Serratia rubidaea	0.9394	0.9531	0.008284	1.654
Yersinia entomophaga	0.9527	0.9528	0.008526	0.01173
Rahnella woolbedingensis	0.9582	0.9526	0.008487	0.6598
Yersinia kristensenii	0.9532	0.9528	0.008526	0.04692
Serratia plymuthica	0.9503	0.9528	0.008518	0.2935
Chania multitudinisentens	0.9361	0.9531	0.008147	2.087
Samsonia erythrinae	0.9283	0.9533	0.007687	3.252
Serratia entomophila	0.9467	0.9529	0.008477	0.7314
