Acetobacter pasteurianus subsp. ascendens	0.7353	0.9571	0.006433	34.48
Acetobacter suratthaniensis	0.9596	0.9491	0.04164	0.2522
Acetobacter oeni	0.9522	0.9494	0.04168	0.06718
Acetobacter pasteurianus subsp. paradoxus	0.9473	0.9495	0.04169	0.05277
Acetobacter nitrogenifigens	0.9368	0.9499	0.04162	0.3148
Acetobacter indonesiensis	0.9581	0.9492	0.04165	0.2137
Acetobacter aceti	0.9619	0.9490	0.04162	0.3099
Acetobacter cerevisiae	0.9614	0.9490	0.04162	0.2979
Acetobacter lovaniensis	0.9593	0.9491	0.04164	0.2450
Acetobacter farinalis	0.9596	0.9491	0.04164	0.2522
Acetobacter orleanensis	0.9533	0.9493	0.04168	0.09597
Acetobacter pomorum	0.9571	0.9492	0.04166	0.1896
Acetobacter pasteurianus subsp. pasteurianus	0.9522	0.9494	0.04168	0.06718
Acetobacter lambici	0.9648	0.9489	0.04158	0.3824
Acetobacter peroxydans	0.9584	0.9491	0.04165	0.2233
Acetobacter musti	0.9569	0.9492	0.04166	0.1848
Acetobacter okinawensis	0.9633	0.9490	0.0416	0.3438
Acetobacter cibinongensis	0.9637	0.9490	0.0416	0.3534
Acetobacter ghanensis	0.9633	0.9490	0.0416	0.3438
Acetobacter fabarum	0.9576	0.9492	0.04166	0.2016
Acetobacter sicerae	0.9596	0.9491	0.04164	0.2522
Acetobacter thailandicus	0.9585	0.9491	0.04165	0.2257
Acetobacter persici	0.9627	0.9490	0.04161	0.3292
Acetobacter papayae	0.9503	0.9494	0.04169	0.02159
Acetobacter malorum	0.9581	0.9492	0.04165	0.2137
Acetobacter senegalensis	0.9646	0.9489	0.04159	0.3775
Acetobacter tropicalis	0.9619	0.9490	0.04162	0.3099
Acetobacter orientalis	0.9448	0.9496	0.04168	0.1152
Acetobacter estunensis	0.9517	0.9494	0.04169	0.05517
