Achromobacter piechaudii	0.9844	0.9889	0.00552	0.8152
Achromobacter pestifer	0.9844	0.9889	0.00552	0.8152
Achromobacter pulmonis	0.9879	0.9887	0.005619	0.1424
Achromobacter insuavis	0.9907	0.9885	0.005599	0.3929
Achromobacter mucicolens	0.9887	0.9887	0.005622	0E+2
Achromobacter aloeverae	0.9694	0.9898	0.002917	6.993
Achromobacter ruhlandii	0.9847	0.9889	0.005534	0.7589
Achromobacter marplatensis	0.9906	0.9885	0.005601	0.3749
Achromobacter xylosoxidans subsp. xylosoxidans	0.9884	0.9887	0.005621	0.05337
Achromobacter aegrifaciens	0.9927	0.9884	0.00553	0.7776
Achromobacter denitrificans	0.9902	0.9886	0.005608	0.2853
Achromobacter deleyi	0.9935	0.9884	0.00549	0.9290
Achromobacter dolens	0.9934	0.9884	0.005496	0.9098
Achromobacter agilis	0.9924	0.9884	0.005544	0.7215
Achromobacter anxifer	0.9908	0.9885	0.005596	0.4110
Achromobacter spanius	0.9926	0.9884	0.005535	0.7588
Achromobacter kerstersii	0.9909	0.9885	0.005594	0.4290
Achromobacter animicus	0.9901	0.9886	0.00561	0.2674
