Acidovorax citrulli	0.9692	0.9599	0.006597	1.410
Acidovorax soli	0.9642	0.9603	0.006971	0.5595
Acidovorax valerianellae	0.9554	0.9610	0.00689	0.8128
Acidovorax avenae	0.9702	0.9598	0.006481	1.605
Acidovorax defluvii	0.9564	0.9609	0.006946	0.6479
Acidovorax temperans	0.9679	0.9600	0.006726	1.175
Acidovorax facilis	0.9589	0.9607	0.007032	0.2560
Acidovorax konjaci	0.9505	0.9613	0.006425	1.681
Acidovorax wautersii	0.9673	0.9601	0.006778	1.062
Acidovorax cattleyae	0.9658	0.9602	0.006886	0.8132
Acidovorax anthurii	0.9489	0.9615	0.006197	2.033
Acidovorax radicis	0.9620	0.9605	0.007037	0.2132
Acidovorax caeni	0.9571	0.9608	0.006978	0.5302
Acidovorax delafieldii	0.9542	0.9611	0.006806	1.014
