Actinoallomurus coprocola	0.9712	0.9644	0.008202	0.8291
Actinoallomurus yoronensis	0.9683	0.9646	0.008332	0.4441
Actinoallomurus oryzae	0.9673	0.9647	0.008359	0.3110
Actinoallomurus bryophytorum	0.9630	0.9650	0.00837	0.2389
Actinoallomurus luridus	0.9611	0.9652	0.00832	0.4928
Actinoallomurus acanthiterrae	0.9629	0.9650	0.008368	0.2510
Actinoallomurus liliacearum	0.9496	0.9660	0.007242	2.265
Actinoallomurus amamiensis	0.9752	0.9641	0.007885	1.408
Actinoallomurus radicium	0.9654	0.9648	0.008385	0.07156
Actinoallomurus purpureus	0.9577	0.9654	0.008147	0.9451
Actinoallomurus spadix	0.9561	0.9655	0.008026	1.171
Actinoallomurus acaciae	0.9769	0.9640	0.007698	1.676
Actinoallomurus iriomotensis	0.9742	0.9642	0.00798	1.253
Actinoallomurus fulvus	0.9719	0.9644	0.008158	0.9193
Actinoallomurus vinaceus	0.9524	0.9658	0.007642	1.753
