Actinobacillus porcinus	0.9248	0.9319	0.01992	0.3564
Actinobacillus scotiae	0.8951	0.9338	0.01765	2.193
Actinobacillus hominis	0.9472	0.9305	0.01958	0.8529
Actinobacillus minor	0.9374	0.9312	0.01993	0.3111
Actinobacillus capsulatus	0.9166	0.9325	0.01962	0.8104
Actinobacillus suis	0.9470	0.9306	0.01959	0.8372
Actinobacillus seminis	0.9009	0.9334	0.01837	1.769
Actinobacillus equuli subsp. haemolyticus	0.9446	0.9307	0.01970	0.7056
Actinobacillus succinogenes	0.9077	0.9330	0.01902	1.330
Actinobacillus pleuropneumoniae	0.9392	0.9310	0.01989	0.4123
Actinobacillus arthritidis	0.9394	0.9310	0.01989	0.4223
Actinobacillus rossii	0.9310	0.9316	0.01999	0.03002
Actinobacillus anseriformium	0.9336	0.9314	0.01998	0.1101
Actinobacillus indolicus	0.9193	0.9323	0.01974	0.6586
Actinobacillus lignieresii	0.9506	0.9303	0.01938	1.047
Actinobacillus delphinicola	0.9260	0.9319	0.01994	0.2959
Actinobacillus equuli subsp. equuli	0.9755	0.9288	0.01647	2.835
