Actinokineospora cibodasensis	0.9601	0.9510	0.007517	1.211
Actinokineospora riparia	0.9592	0.9511	0.00759	1.067
Actinokineospora auranticolor	0.9613	0.9509	0.007405	1.404
Actinokineospora globicatena	0.9587	0.9511	0.007627	0.9965
Actinokineospora bangkokensis	0.9506	0.9517	0.00787	0.1398
Actinokineospora baliensis	0.9587	0.9511	0.007627	0.9965
Actinokineospora diospyrosa	0.9581	0.9512	0.007668	0.8998
Actinokineospora terrae	0.9525	0.9516	0.007871	0.1143
Actinokineospora soli	0.9414	0.9524	0.00735	1.497
Actinokineospora mzabensis	0.9523	0.9516	0.007872	0.08892
Actinokineospora fastidiosa	0.9531	0.9515	0.007864	0.2035
Actinokineospora cianjurensis	0.9461	0.9520	0.007725	0.7638
Actinokineospora spheciospongiae	0.9385	0.9526	0.006988	2.018
Actinokineospora enzanensis	0.9423	0.9523	0.007441	1.344
Actinokineospora guangxiensis	0.9414	0.9524	0.00735	1.497
