Actinoplanes tereljensis	0.9538	0.9535	0.005392	0.05564
Actinoplanes siamensis	0.9472	0.9537	0.005301	1.226
Actinoplanes digitatis	0.9560	0.9535	0.005378	0.4649
Actinoplanes luteus	0.9557	0.9535	0.005381	0.4088
Actinoplanes liguriensis	0.9465	0.9537	0.00528	1.364
Actinoplanes lobatus	0.9607	0.9533	0.005274	1.403
Actinoplanes ianthinogenes	0.9482	0.9536	0.005328	1.014
Actinoplanes utahensis	0.9601	0.9534	0.005293	1.266
Actinoplanes abujensis	0.9523	0.9535	0.005389	0.2227
Actinoplanes derwentensis	0.9546	0.9535	0.005389	0.2041
Actinoplanes auranticolor	0.9548	0.9535	0.005388	0.2413
Actinoplanes lichenis	0.9543	0.9535	0.00539	0.1484
Actinoplanes toevensis	0.9535	0.9535	0.005392	0E+2
Actinoplanes rectilineatus	0.9583	0.9534	0.00534	0.9176
Actinoplanes missouriensis	0.9481	0.9536	0.005325	1.033
Actinoplanes campanulatus	0.9583	0.9534	0.00534	0.9176
Actinoplanes philippinensis	0.9540	0.9535	0.005391	0.09275
Actinoplanes globisporus	0.9383	0.9539	0.004841	3.222
Actinoplanes palleronii	0.9570	0.9534	0.005364	0.6711
Actinoplanes lutulentus	0.9466	0.9537	0.005283	1.344
Actinoplanes rhizophilus	0.9441	0.9537	0.005188	1.850
Actinoplanes ferrugineus	0.9460	0.9537	0.005263	1.463
Actinoplanes rishiriensis	0.9451	0.9537	0.00523	1.644
Actinoplanes nipponensis	0.9580	0.9534	0.005346	0.8605
Actinoplanes subglobosus	0.9553	0.9535	0.005385	0.3343
Actinoplanes sichuanensis	0.9557	0.9535	0.005381	0.4088
Actinoplanes consettensis	0.9587	0.9534	0.005331	0.9942
Actinoplanes cibodasensis	0.9519	0.9535	0.005386	0.2971
Actinoplanes humidus	0.9569	0.9534	0.005366	0.6523
Actinoplanes tropicalis	0.9426	0.9538	0.005116	2.189
Actinoplanes octamycinicus	0.9493	0.9536	0.005352	0.8034
Actinoplanes atraurantiacus	0.9597	0.9534	0.005304	1.188
Actinoplanes brasiliensis	0.9581	0.9534	0.005344	0.8795
Actinoplanes capillaceus	0.9554	0.9535	0.005384	0.3529
Actinoplanes cyaneus	0.9570	0.9534	0.005364	0.6711
Actinoplanes regularis	0.9557	0.9535	0.005381	0.4088
Actinoplanes durhamensis	0.9519	0.9535	0.005386	0.2971
Actinoplanes deccanensis	0.9546	0.9535	0.005389	0.2041
Actinoplanes xinjiangensis	0.9594	0.9534	0.005313	1.129
Actinoplanes friuliensis	0.9554	0.9535	0.005384	0.3529
Actinoplanes italicus	0.9585	0.9534	0.005335	0.9560
Actinoplanes couchii	0.9523	0.9535	0.005389	0.2227
Actinoplanes bogorensis	0.9610	0.9533	0.005263	1.463
