Aequorivita lipolytica	0.9370	0.9326	0.01089	0.4040
Aequorivita vladivostokensis	0.9301	0.9334	0.01093	0.3019
Aequorivita sublithincola	0.9199	0.9345	0.009959	1.466
Aequorivita soesokkakensis	0.9398	0.9323	0.01072	0.6996
Aequorivita aestuarii	0.9217	0.9343	0.01023	1.232
Aequorivita echinoideorum	0.9145	0.9351	0.008833	2.332
Aequorivita crocea	0.9442	0.9318	0.01026	1.209
Aequorivita antarctica	0.9468	0.9315	0.009865	1.551
Aequorivita viscosa	0.9382	0.9325	0.01083	0.5263
Aequorivita nionensis	0.9385	0.9325	0.01081	0.5550
