Aeromicrobium alkaliterrae	0.9594	0.9533	0.006477	0.9418
Aeromicrobium camelliae	0.9401	0.9551	0.005137	2.920
Aeromicrobium panaciterrae	0.9575	0.9535	0.006611	0.6051
Aeromicrobium marinum	0.9590	0.9533	0.00651	0.8756
Aeromicrobium ginsengisoli	0.9559	0.9536	0.00668	0.3443
Aeromicrobium halocynthiae	0.9517	0.9540	0.006679	0.3444
Aeromicrobium choanae	0.9618	0.9531	0.006223	1.398
Aeromicrobium erythreum	0.9592	0.9533	0.006494	0.9085
Aeromicrobium massiliense	0.9425	0.9548	0.005688	2.162
Aeromicrobium fastidiosum	0.9515	0.9540	0.006672	0.3747
Aeromicrobium flavum	0.9530	0.9539	0.006707	0.1342
Aeromicrobium ponti	0.9542	0.9538	0.006711	0.05960
