Aeromonas fluvialis	0.9779	0.9797	0.005036	0.3574
Aeromonas tecta	0.9800	0.9796	0.005045	0.07929
Aeromonas piscicola	0.9816	0.9796	0.005033	0.3974
Aeromonas jandaei	0.9804	0.9796	0.005044	0.1586
Aeromonas eucrenophila	0.9819	0.9796	0.005029	0.4573
Aeromonas popoffii	0.9783	0.9797	0.00504	0.2778
Aeromonas punctata subsp. caviae	0.9777	0.9797	0.005034	0.3973
Aeromonas taiwanensis	0.9797	0.9796	0.005045	0.01982
Aeromonas molluscorum	0.9827	0.9795	0.005016	0.6380
Aeromonas salmonicida subsp. smithia	0.9746	0.9798	0.004967	1.047
Aeromonas simiae	0.9586	0.9803	0.003414	6.356
Aeromonas schubertii	0.9709	0.9799	0.004804	1.873
Aeromonas australiensis	0.9774	0.9797	0.00503	0.4573
Aeromonas punctata subsp. punctata	0.9810	0.9796	0.00504	0.2778
Aeromonas sobria	0.9842	0.9795	0.00498	0.9438
Aeromonas encheleia	0.9815	0.9796	0.005034	0.3774
Aeromonas salmonicida subsp. achromogenes	0.9832	0.9795	0.005006	0.7391
Aeromonas enteropelogenes	0.9782	0.9797	0.005039	0.2977
Aeromonas rivuli	0.9839	0.9795	0.004988	0.8821
Aeromonas dhakensis	0.9788	0.9796	0.005043	0.1586
Aeromonas salmonicida subsp. salmonicida	0.9782	0.9797	0.005039	0.2977
Aeromonas hydrophila subsp. hydrophila	0.9852	0.9795	0.004948	1.152
Aeromonas aquariorum	0.9834	0.9795	0.005001	0.7798
Aeromonas hydrophila subsp. ranae	0.9822	0.9795	0.005025	0.5373
Aeromonas sanarellii	0.9802	0.9796	0.005044	0.1190
Aeromonas bestiarum	0.9834	0.9795	0.005001	0.7798
Aeromonas salmonicida subsp. pectinolytica	0.9807	0.9796	0.005042	0.2182
Aeromonas ichthiosmia	0.9835	0.9795	0.004999	0.8002
Aeromonas bivalvium	0.9821	0.9795	0.005026	0.5173
Aeromonas veronii	0.9836	0.9795	0.004996	0.8207
Aeromonas salmonicida subsp. masoucida	0.9739	0.9798	0.004943	1.194
Aeromonas media	0.9837	0.9795	0.004994	0.8410
Aeromonas diversa	0.9730	0.9798	0.004908	1.385
Aeromonas hydrophila subsp. anaerogenes	0.9816	0.9796	0.005033	0.3974
