Agromyces atrinae	0.9368	0.9490	0.007609	1.603
Agromyces italicus	0.9423	0.9488	0.007838	0.8293
Agromyces neolithicus	0.9511	0.9485	0.007913	0.3286
Agromyces mediolanus	0.9430	0.9488	0.007857	0.7382
Agromyces iriomotensis	0.9547	0.9484	0.007843	0.8033
Agromyces indicus	0.9515	0.9485	0.007908	0.3794
Agromyces bracchium	0.9394	0.9489	0.007736	1.228
Agromyces insulae	0.9371	0.9490	0.007626	1.560
Agromyces hippuratus	0.9349	0.9490	0.007495	1.881
Agromyces terreus	0.9613	0.9481	0.007555	1.747
Agromyces subtropicus	0.9506	0.9485	0.007918	0.2652
Agromyces ramosus	0.9564	0.9483	0.007789	1.040
Agromyces subbeticus	0.9394	0.9489	0.007736	1.228
Agromyces flavus	0.9455	0.9487	0.007906	0.4048
Agromyces luteolus	0.9505	0.9485	0.007919	0.2526
Agromyces humatus	0.9472	0.9486	0.007923	0.1767
Agromyces cerinus subsp. cerinus	0.9344	0.9491	0.007462	1.970
Agromyces lapidis	0.9512	0.9485	0.007912	0.3413
Agromyces aureus	0.9592	0.9482	0.00767	1.434
Agromyces bauzanensis	0.9504	0.9485	0.00792	0.2399
Agromyces aurantiacus	0.9523	0.9484	0.007896	0.4939
Agromyces rhizospherae	0.9374	0.9490	0.007641	1.518
Agromyces soli	0.9509	0.9485	0.007915	0.3032
Agromyces cerinus subsp. nitratus	0.9506	0.9485	0.007918	0.2652
Agromyces tropicus	0.9502	0.9485	0.007922	0.2146
Agromyces ulmi	0.9534	0.9484	0.007875	0.6349
Agromyces allii	0.9631	0.9481	0.007438	2.017
Agromyces salentinus	0.9515	0.9485	0.007908	0.3794
Agromyces binzhouensis	0.9585	0.9482	0.007703	1.337
Agromyces marinus	0.9525	0.9484	0.007893	0.5194
