Algibacter psychrophilus	0.9463	0.9476	0.01325	0.09811
Algibacter amylolyticus	0.9514	0.9472	0.01320	0.3182
Algibacter alginicilyticus	0.9460	0.9477	0.01325	0.1283
Algibacter agarivorans	0.9332	0.9488	0.01246	1.252
Algibacter aquimarinus	0.9346	0.9487	0.01261	1.118
Algibacter miyuki	0.9581	0.9466	0.01283	0.8963
Algibacter aestuarii	0.9269	0.9494	0.01155	1.948
Algibacter agarilyticus	0.9424	0.9480	0.01316	0.4255
Algibacter pectinivorans	0.9441	0.9478	0.01321	0.2801
Algibacter lectus	0.9741	0.9451	0.01028	2.821
Algibacter undariae	0.9635	0.9461	0.01226	1.419
Algibacter mikhailovii	0.9497	0.9473	0.01324	0.1813
