Algoriphagus yeomjeoni	0.9338	0.9242	0.00851	1.128
Algoriphagus halophilus	0.9388	0.9240	0.008296	1.784
Algoriphagus aquatilis	0.9200	0.9246	0.008631	0.5330
Algoriphagus ratkowskyi	0.9307	0.9242	0.008596	0.7562
Algoriphagus vanfongensis	0.9185	0.9246	0.008603	0.7091
Algoriphagus terrigena	0.9244	0.9244	0.008665	0E+2
Algoriphagus aquaeductus	0.9190	0.9246	0.008613	0.6502
Algoriphagus locisalis	0.9293	0.9243	0.008623	0.5798
Algoriphagus litorisediminis	0.9266	0.9244	0.008657	0.2541
Algoriphagus zhangzhouensis	0.9292	0.9243	0.008625	0.5681
Algoriphagus alkaliphilus	0.9332	0.9242	0.00853	1.055
Algoriphagus boritolerans	0.9310	0.9242	0.008589	0.7917
Algoriphagus faecimaris	0.9247	0.9244	0.008665	0.03462
Algoriphagus hitonicola	0.9252	0.9244	0.008664	0.09234
Algoriphagus antarcticus	0.9322	0.9242	0.008559	0.9347
Algoriphagus marincola	0.9202	0.9246	0.008634	0.5096
Algoriphagus aestuariicola	0.9259	0.9244	0.008661	0.1732
Algoriphagus winogradskyi	0.9304	0.9243	0.008603	0.7091
Algoriphagus taiwanensis	0.9256	0.9244	0.008663	0.1385
Algoriphagus ornithinivorans	0.9305	0.9243	0.00860	0.7209
Algoriphagus boseongensis	0.9197	0.9246	0.008626	0.5681
Algoriphagus lutimaris	0.9390	0.9240	0.008286	1.810
Algoriphagus aquimarinus	0.9303	0.9243	0.008605	0.6973
Algoriphagus namhaensis	0.9192	0.9246	0.008617	0.6267
Algoriphagus aestuarii	0.9310	0.9242	0.008589	0.7917
Algoriphagus mannitolivorans	0.9170	0.9247	0.008568	0.8987
Algoriphagus resistens	0.9220	0.9245	0.008655	0.2889
Algoriphagus taeanensis	0.9260	0.9244	0.008661	0.1847
Algoriphagus roseus	0.9296	0.9243	0.008618	0.6150
Algoriphagus trabzonensis	0.9124	0.9248	0.008408	1.475
Algoriphagus iocasae	0.9289	0.9243	0.00863	0.5330
Algoriphagus chordae	0.9119	0.9248	0.008386	1.538
Algoriphagus olei	0.9043	0.9250	0.007925	2.612
Algoriphagus confluentis	0.9016	0.9251	0.007701	3.052
Algoriphagus chungangensis	0.9130	0.9248	0.008434	1.399
