Anoxybacillus thermarum	0.9610	0.9527	0.00914	0.9081
Anoxybacillus tepidamans	0.9433	0.9535	0.009054	1.127
Anoxybacillus amylolyticus	0.9507	0.9531	0.009297	0.2581
Anoxybacillus bogrovensis	0.9394	0.9537	0.008799	1.625
Anoxybacillus calidus	0.9404	0.9536	0.008873	1.488
Anoxybacillus tengchongensis	0.9585	0.9528	0.009231	0.6175
Anoxybacillus kaynarcensis	0.9499	0.9532	0.009285	0.3554
Anoxybacillus kestanbolensis	0.9462	0.9534	0.009185	0.7839
Anoxybacillus flavithermus subsp. yunnanensis	0.9645	0.9525	0.008952	1.340
Anoxybacillus ayderensis	0.9578	0.9528	0.00925	0.5405
Anoxybacillus salavatliensis	0.9569	0.9529	0.009271	0.4315
Anoxybacillus geothermalis	0.9537	0.9530	0.00931	0.07519
Anoxybacillus flavithermus subsp. flavithermus	0.9654	0.9524	0.008892	1.462
Anoxybacillus pushchinoensis	0.9513	0.9531	0.009303	0.1935
Anoxybacillus voinovskiensis	0.9616	0.9526	0.009113	0.9876
Anoxybacillus kamchatkensis	0.9612	0.9526	0.009131	0.9418
Anoxybacillus vitaminiphilus	0.9410	0.9536	0.008915	1.413
Anoxybacillus caldiproteolyticus	0.9410	0.9536	0.008915	1.413
Anoxybacillus rupiensis	0.9393	0.9537	0.008791	1.638
Anoxybacillus eryuanensis	0.9664	0.9524	0.00882	1.587
Anoxybacillus gonensis	0.9542	0.9530	0.009308	0.1289
Anoxybacillus contaminans	0.9631	0.9526	0.009036	1.162
