Aquimarina addita	0.9289	0.9305	0.009463	0.1691
Aquimarina mytili	0.9307	0.9304	0.009469	0.03168
Aquimarina penaei	0.9369	0.9301	0.009351	0.7272
Aquimarina latercula	0.9284	0.9305	0.009458	0.2220
Aquimarina gracilis	0.9295	0.9304	0.009467	0.09507
Aquimarina spongiae	0.9190	0.9310	0.009102	1.318
Aquimarina muelleri	0.9364	0.9301	0.009368	0.6725
Aquimarina atlantica	0.9397	0.9299	0.009225	1.062
Aquimarina amphilecti	0.9306	0.9304	0.009469	0.02112
Aquimarina agarivorans	0.9249	0.9307	0.009385	0.6180
Aquimarina longa	0.9255	0.9306	0.009403	0.5424
Aquimarina agarilytica	0.9213	0.9308	0.009237	1.028
Aquimarina rubra	0.9293	0.9304	0.009466	0.1162
Aquimarina hainanensis	0.9189	0.9310	0.009096	1.330
Aquimarina pacifica	0.9412	0.9298	0.009139	1.247
Aquimarina versatilis	0.9254	0.9306	0.00940	0.5532
Aquimarina brevivitae	0.9187	0.9310	0.009082	1.354
Aquimarina salinaria	0.9285	0.9305	0.009459	0.2114
Aquimarina aggregata	0.9554	0.9291	0.007537	3.489
Aquimarina macrocephali	0.9463	0.9296	0.008739	1.911
Aquimarina intermedia	0.9226	0.9308	0.009299	0.8818
