Arcobacter skirrowii	0.9045	0.9166	0.01807	0.6696
Arcobacter molluscorum	0.9067	0.9165	0.01814	0.5402
Arcobacter thereius	0.8991	0.9169	0.01786	0.9966
Arcobacter venerupis	0.9248	0.9156	0.01815	0.5069
Arcobacter anaerophilus	0.9022	0.9167	0.01799	0.8060
Arcobacter butzleri	0.9139	0.9162	0.01825	0.1260
Arcobacter halophilus	0.9060	0.9165	0.01812	0.5795
Arcobacter cryaerophilus	0.9169	0.9160	0.01826	0.04929
Arcobacter aquimarinus	0.9357	0.9151	0.01772	1.163
Arcobacter marinus	0.9056	0.9166	0.01811	0.6074
Arcobacter mytili	0.9066	0.9165	0.01813	0.5461
Arcobacter suis	0.9314	0.9153	0.01793	0.8979
Arcobacter pacificus	0.9033	0.9167	0.01803	0.7432
Arcobacter nitrofigilis	0.9028	0.9167	0.01802	0.7714
Arcobacter bivalviorum	0.9038	0.9166	0.01805	0.7091
Arcobacter ebronensis	0.9064	0.9165	0.01813	0.5571
Arcobacter defluvii	0.9395	0.9149	0.01749	1.407
Arcobacter ellisii	0.9305	0.9154	0.01797	0.8403
Arcobacter lekithochrous	0.8887	0.9174	0.01720	1.669
Arcobacter cloacae	0.9136	0.9162	0.01825	0.1425
Arcobacter cibarius	0.9614	0.9139	0.01519	3.127
Arcobacter trophiarum	0.9499	0.9144	0.01662	2.136
