Arthrobacter gandavensis	0.9368	0.9346	0.008534	0.2578
Arthrobacter psychrolactophilus	0.9234	0.9349	0.008365	1.375
Arthrobacter psychrochitiniphilus	0.9314	0.9348	0.008526	0.3988
Arthrobacter bambusae	0.9470	0.9344	0.008331	1.512
Arthrobacter pityocampae	0.9169	0.9351	0.008098	2.247
Arthrobacter tecti	0.9393	0.9346	0.008511	0.5522
Arthrobacter ginkgonis	0.9342	0.9347	0.00854	0.05855
Arthrobacter crystallopoietes	0.9395	0.9346	0.008509	0.5759
Arthrobacter methylotrophus	0.9415	0.9345	0.008477	0.8258
Arthrobacter nanjingensis	0.9370	0.9346	0.008533	0.2813
Arthrobacter chlorophenolicus	0.9483	0.9344	0.008284	1.678
Arthrobacter livingstonensis	0.9274	0.9349	0.008468	0.8857
Arthrobacter agilis	0.9364	0.9346	0.008536	0.2109
Arthrobacter humicola	0.9432	0.9345	0.008441	1.031
Arthrobacter liuii	0.9310	0.9348	0.008522	0.4459
Arthrobacter echini	0.9237	0.9349	0.008374	1.337
Arthrobacter globiformis	0.9480	0.9344	0.008296	1.639
Arthrobacter oryzae	0.9441	0.9345	0.008419	1.140
Arthrobacter parietis	0.9386	0.9346	0.008519	0.4695
Arthrobacter pascens	0.9439	0.9345	0.008424	1.116
Arthrobacter stackebrandtii	0.9278	0.9348	0.008475	0.8260
Arthrobacter woluwensis	0.9380	0.9346	0.008525	0.3988
Arthrobacter castelli	0.9169	0.9351	0.008098	2.247
Arthrobacter tumbae	0.9391	0.9346	0.008514	0.5285
Arthrobacter halodurans	0.9304	0.9348	0.008515	0.5167
Arthrobacter citreus	0.9336	0.9347	0.008539	0.1288
Arthrobacter cupressi	0.9371	0.9346	0.008532	0.2930
Arthrobacter deserti	0.9119	0.9352	0.007802	2.986
Arthrobacter luteolus	0.9415	0.9345	0.008477	0.8258
Arthrobacter monumenti	0.9345	0.9347	0.00854	0.02342
Arthrobacter roseus	0.9379	0.9346	0.008526	0.3871
Arthrobacter endophyticus	0.9277	0.9348	0.008474	0.8379
Arthrobacter equi	0.9440	0.9345	0.008421	1.128
Arthrobacter ramosus	0.9425	0.9345	0.008457	0.9460
Arthrobacter pigmenti	0.9264	0.9349	0.008446	1.006
Arthrobacter enclensis	0.9395	0.9346	0.008509	0.5759
Arthrobacter russicus	0.9259	0.9349	0.008435	1.067
Arthrobacter alpinus	0.9384	0.9346	0.008521	0.4460
Arthrobacter nasiphocae	0.9295	0.9348	0.008504	0.6232
Arthrobacter flavus	0.9437	0.9345	0.008429	1.091
Arthrobacter subterraneus	0.9357	0.9347	0.008539	0.1171
Arthrobacter koreensis	0.9241	0.9349	0.008386	1.288
Arthrobacter alkaliphilus	0.9422	0.9345	0.008463	0.9098
Arthrobacter gyeryongensis	0.9303	0.9348	0.008514	0.5285
Arthrobacter cryoconiti	0.9307	0.9348	0.008519	0.4813
