Aureimonas ureilytica	0.9382	0.9336	0.007507	0.6128
Aureimonas rubiginis	0.9244	0.9351	0.006854	1.561
Aureimonas phyllosphaerae	0.9402	0.9334	0.007335	0.9271
Aureimonas galii	0.9459	0.9327	0.006414	2.058
Aureimonas pseudogalii	0.9366	0.9338	0.007594	0.3687
Aureimonas glaciistagni	0.9316	0.9343	0.007598	0.3554
Aureimonas altamirensis	0.9410	0.9333	0.007247	1.063
Aureimonas frigidaquae	0.9307	0.9344	0.007556	0.4897
Aureimonas glaciei	0.9301	0.9345	0.00752	0.5851
Aureimonas jatrophae	0.9218	0.9354	0.006321	2.152
