Bacillus salarius	0.8588	0.9016	0.01444	2.964
Bacillus lentus	0.9140	0.9013	0.01468	0.8651
Bacillus caseinilyticus	0.8728	0.9015	0.01459	1.967
Bacillus vini	0.9093	0.9014	0.01470	0.5374
Bacillus firmus	0.9211	0.9013	0.01465	1.352
Bacillus pseudalcaliphilus	0.8986	0.9014	0.01470	0.1905
Bacillus panacisoli	0.9060	0.9014	0.01470	0.3129
Bacillus hemicellulosilyticus	0.8992	0.9014	0.01470	0.1497
Bacillus filamentosus	0.9068	0.9014	0.01470	0.3673
Bacillus tequilensis	0.9045	0.9014	0.01470	0.2109
Bacillus australimaris	0.9042	0.9014	0.01470	0.1905
Bacillus canaveralius	0.9099	0.9014	0.01469	0.5786
Bacillus persicus	0.9105	0.9014	0.01469	0.6195
Bacillus infernus	0.8955	0.9014	0.01470	0.4014
Bacillus gossypii	0.9058	0.9014	0.01470	0.2993
Bacillus badius	0.9017	0.9014	0.01471	0.02039
Bacillus beveridgei	0.8671	0.9015	0.01453	2.368
Bacillus vallismortis	0.9073	0.9014	0.01470	0.4014
Bacillus crescens	0.9156	0.9013	0.01468	0.9741
Bacillus chagannorensis	0.8454	0.9016	0.01424	3.947
Bacillus xiaoxiensis	0.8827	0.9015	0.01465	1.283
Bacillus ectoiniformans	0.9071	0.9014	0.01470	0.3878
Bacillus capparidis	0.9009	0.9014	0.01471	0.03399
Bacillus macyae	0.8996	0.9014	0.01470	0.1224
Bacillus gottheilii	0.9251	0.9013	0.01462	1.628
Bacillus carboniphilus	0.9118	0.9014	0.01469	0.7080
Bacillus shacheensis	0.8803	0.9015	0.01464	1.448
Bacillus mannanilyticus	0.8896	0.9015	0.01468	0.8106
Bacillus ruris	0.9012	0.9014	0.01471	0.01360
Bacillus panaciterrae	0.9036	0.9014	0.01470	0.1497
Bacillus aurantiacus	0.8686	0.9015	0.01455	2.261
Bacillus nakamurai	0.9069	0.9014	0.01470	0.3741
Bacillus infantis	0.9204	0.9013	0.01465	1.304
Bacillus butanolivorans	0.9079	0.9014	0.01470	0.4422
Bacillus farraginis	0.8922	0.9014	0.01469	0.6263
