Bacteroides cellulosolvens	0.6562	0.8534	0.05365	3.676
Bacteroides reticulotermitis	0.8605	0.8490	0.06086	0.1890
Bacteroides luti	0.8494	0.8492	0.06088	0.003285
Bacteroides dorei	0.8579	0.8490	0.06086	0.1462
Bacteroides eggerthii	0.8713	0.8487	0.06079	0.3718
Bacteroides rodentium	0.8790	0.8486	0.06072	0.5007
Bacteroides propionicifaciens	0.8286	0.8497	0.0608	0.3470
Bacteroides fragilis	0.8639	0.8489	0.06084	0.2465
Bacteroides coprophilus	0.8468	0.8493	0.06088	0.04106
Bacteroides caecigallinarum	0.8589	0.8490	0.06086	0.1627
Bacteroides finegoldii	0.8747	0.8487	0.06076	0.4279
Bacteroides gallinarum	0.8654	0.8489	0.06083	0.2712
Bacteroides galacturonicus	0.6635	0.8532	0.05422	3.499
Bacteroides thetaiotaomicron	0.8777	0.8486	0.06073	0.4792
Bacteroides caecimuris	0.8837	0.8485	0.06066	0.5803
Bacteroides pyogenes	0.8439	0.8493	0.06087	0.08871
Bacteroides zoogleoformans	0.8423	0.8494	0.06087	0.1166
Bacteroides paurosaccharolyticus	0.8548	0.8491	0.06087	0.09364
Bacteroides intestinalis	0.8822	0.8485	0.06068	0.5554
Bacteroides plebeius	0.8504	0.8492	0.06088	0.01971
Bacteroides salyersiae	0.8755	0.8486	0.06075	0.4428
Bacteroides faecis	0.8791	0.8486	0.06072	0.5023
Bacteroides caccae	0.8734	0.8487	0.06077	0.4065
Bacteroides cellulosilyticus	0.8619	0.8489	0.06085	0.2136
Bacteroides coagulans	0.6564	0.8534	0.05367	3.671
Bacteroides pectinophilus	0.6681	0.8531	0.05457	3.390
Bacteroides clarus	0.8837	0.8485	0.06066	0.5803
Bacteroides vulgatus	0.8734	0.8487	0.06077	0.4065
Bacteroides graminisolvens	0.8763	0.8486	0.06074	0.4560
Bacteroides faecichinchillae	0.8914	0.8483	0.06055	0.7118
Bacteroides xylanisolvens	0.8857	0.8484	0.06064	0.6151
Bacteroides nordii	0.8768	0.8486	0.06074	0.4643
Bacteroides massiliensis	0.8663	0.8488	0.06083	0.2877
Bacteroides ovatus	0.8683	0.8488	0.06081	0.3207
Bacteroides caecicola	0.8247	0.8497	0.06077	0.4114
Bacteroides heparinolyticus	0.8632	0.8489	0.06084	0.2350
Bacteroides coprocola	0.8705	0.8487	0.0608	0.3586
Bacteroides sartorii	0.8672	0.8488	0.06082	0.3025
Bacteroides helcogenes	0.8710	0.8487	0.06079	0.3668
Bacteroides oleiciplenus	0.8857	0.8484	0.06064	0.6151
Bacteroides fluxus	0.8702	0.8487	0.0608	0.3536
Bacteroides barnesiae	0.8565	0.8490	0.06087	0.1232
Bacteroides coprosuis	0.8381	0.8494	0.06086	0.1857
Bacteroides uniformis	0.8970	0.8482	0.06046	0.8071
Bacteroides salanitronis	0.8167	0.8499	0.06069	0.5470
Bacteroides acidifaciens	0.8992	0.8481	0.06042	0.8457
Bacteroides stercoris	0.9052	0.8480	0.0603	0.9486
