Bartonella henselae	0.9807	0.9728	0.007531	1.049
Bartonella taylorii	0.9694	0.9732	0.00763	0.4980
Bartonella japonica	0.9774	0.9729	0.007618	0.5907
Bartonella birtlesii	0.9800	0.9728	0.007553	0.9533
Bartonella fuyuanensis	0.9720	0.9731	0.007657	0.1437
Bartonella elizabethae	0.9757	0.9730	0.007644	0.3532
Bartonella heixiaziensis	0.9800	0.9728	0.007553	0.9533
Bartonella schoenbuchensis	0.9734	0.9730	0.007659	0.05223
Bartonella vinsonii subsp. vinsonii	0.9820	0.9728	0.007483	1.229
Bartonella senegalensis	0.9773	0.9729	0.00762	0.5774
Bartonella jaculi	0.9747	0.9730	0.007653	0.2221
Bartonella silvatica	0.9765	0.9729	0.007633	0.4716
Bartonella rattaustraliani	0.9794	0.9728	0.007571	0.8717
Bartonella bovis	0.9696	0.9732	0.007633	0.4716
Bartonella pachyuromydis	0.9764	0.9729	0.007635	0.4584
Bartonella koehlerae	0.9780	0.9729	0.007606	0.6705
Bartonella apis	0.9477	0.9739	0.006106	4.291
Bartonella clarridgeiae	0.9649	0.9733	0.007514	1.118
Bartonella vinsonii subsp. berkhoffii	0.9741	0.9730	0.007657	0.1437
Bartonella alsatica	0.9750	0.9730	0.007651	0.2614
Bartonella bacilliformis	0.9653	0.9733	0.007528	1.063
Bartonella quintana	0.9716	0.9731	0.007655	0.1960
Bartonella capreoli	0.9778	0.9729	0.00761	0.6439
Bartonella queenslandensis	0.9820	0.9728	0.007483	1.229
Bartonella callosciuri	0.9765	0.9729	0.007633	0.4716
Bartonella ancashensis	0.9664	0.9733	0.007563	0.9123
Bartonella chomelii	0.9606	0.9734	0.007315	1.750
Bartonella tribocorum	0.9791	0.9728	0.007579	0.8312
Bartonella acomydis	0.9746	0.9730	0.007654	0.2090
Bartonella doshiae	0.9734	0.9730	0.007659	0.05223
Bartonella florencae	0.9695	0.9732	0.007632	0.4848
Bartonella coopersplainsensis	0.9563	0.9736	0.007024	2.463
