Bizionia myxarmorum	0.9382	0.9416	0.008407	0.4044
Bizionia algoritergicola	0.9451	0.9408	0.008368	0.5139
Bizionia psychrotolerans	0.9462	0.9407	0.008296	0.6630
Bizionia arctica	0.9334	0.9421	0.008013	1.086
Bizionia gelidisalsuginis	0.9281	0.9427	0.007103	2.055
Bizionia echini	0.9564	0.9396	0.006598	2.546
Bizionia fulviae	0.9503	0.9403	0.007858	1.273
Bizionia argentinensis	0.9424	0.9411	0.008466	0.1536
Bizionia saleffrena	0.9357	0.9419	0.008247	0.7518
Bizionia paragorgiae	0.9368	0.9418	0.008329	0.6003
