Brachybacterium muris	0.9449	0.9501	0.006942	0.7491
Brachybacterium nesterenkovii	0.9546	0.9495	0.006946	0.7342
Brachybacterium conglomeratum	0.9575	0.9494	0.006782	1.194
Brachybacterium phenoliresistens	0.9439	0.9502	0.006893	0.9140
Brachybacterium zhongshanense	0.9393	0.9504	0.006543	1.696
Brachybacterium squillarum	0.9561	0.9494	0.006871	0.9751
Brachybacterium saurashtrense	0.9579	0.9493	0.006753	1.274
Brachybacterium horti	0.9380	0.9505	0.006403	1.952
Brachybacterium tyrofermentans	0.9512	0.9497	0.00704	0.2131
Brachybacterium faecium	0.9595	0.9492	0.00662	1.556
Brachybacterium fresconis	0.9546	0.9495	0.006946	0.7342
Brachybacterium ginsengisoli	0.9454	0.9501	0.006962	0.6751
Brachybacterium alimentarium	0.9536	0.9496	0.006985	0.5727
Brachybacterium aquaticum	0.9481	0.9499	0.007036	0.2558
Brachybacterium paraconglomeratum	0.9513	0.9497	0.007039	0.2273
Brachybacterium huguangmaarense	0.9507	0.9498	0.007045	0.1278
Brachybacterium hainanense	0.9534	0.9496	0.006991	0.5436
Brachybacterium sacelli	0.9365	0.9506	0.006218	2.268
