Bradyrhizobium icense	0.9760	0.9721	0.008027	0.4859
Bradyrhizobium embrapense	0.9751	0.9721	0.008039	0.3732
Bradyrhizobium stylosanthis	0.9766	0.9720	0.008018	0.5737
Bradyrhizobium yuanmingense	0.9754	0.9721	0.008035	0.4107
Bradyrhizobium ottawaense	0.9785	0.9720	0.007979	0.8146
Bradyrhizobium guangdongense	0.9778	0.9720	0.007995	0.7255
Bradyrhizobium lupini	0.9751	0.9721	0.008039	0.3732
Bradyrhizobium paxllaeri	0.9756	0.9721	0.008033	0.4357
Bradyrhizobium canariense	0.9750	0.9721	0.00804	0.3607
Bradyrhizobium pachyrhizi	0.9724	0.9722	0.008055	0.02483
Bradyrhizobium ferriligni	0.9382	0.9732	0.005472	6.396
Bradyrhizobium liaoningense	0.9809	0.9719	0.00791	1.138
Bradyrhizobium tropiciagri	0.9639	0.9724	0.007925	1.073
Bradyrhizobium denitrificans	0.9704	0.9722	0.008049	0.2236
Bradyrhizobium jicamae	0.9719	0.9722	0.008055	0.03724
Bradyrhizobium retamae	0.9683	0.9723	0.008027	0.4983
Bradyrhizobium subterraneum	0.9796	0.9720	0.007951	0.9559
Bradyrhizobium huanghuaihaiense	0.9782	0.9720	0.007986	0.7764
Bradyrhizobium guangxiense	0.9819	0.9719	0.007875	1.270
Bradyrhizobium lablabi	0.9699	0.9722	0.008045	0.2859
Bradyrhizobium manausense	0.9728	0.9722	0.008054	0.07450
Bradyrhizobium betae	0.9748	0.9721	0.008042	0.3357
Bradyrhizobium japonicum	0.9796	0.9720	0.007951	0.9559
Bradyrhizobium daqingense	0.9719	0.9722	0.008055	0.03724
Bradyrhizobium arachidis	0.9720	0.9722	0.008055	0.02483
Bradyrhizobium vignae	0.9584	0.9726	0.00769	1.847
Bradyrhizobium viridifuturi	0.9767	0.9720	0.008016	0.5863
Bradyrhizobium elkanii	0.9671	0.9723	0.008006	0.6495
Bradyrhizobium iriomotense	0.9776	0.9720	0.007999	0.7001
Bradyrhizobium kavangense	0.9634	0.9724	0.007909	1.138
Bradyrhizobium erythrophlei	0.9766	0.9720	0.008018	0.5737
Bradyrhizobium neotropicale	0.9698	0.9722	0.008044	0.2984
Bradyrhizobium ingae	0.9706	0.9722	0.00805	0.1988
Bradyrhizobium ganzhouense	0.9724	0.9722	0.008055	0.02483
Bradyrhizobium mercantei	0.9616	0.9725	0.007842	1.390
