Brevundimonas aurantiaca	0.9556	0.9466	0.01241	0.7252
Brevundimonas viscosa	0.9448	0.9470	0.01253	0.1756
Brevundimonas albigilva	0.9369	0.9474	0.01237	0.8488
Brevundimonas balnearis	0.9396	0.9472	0.01245	0.6104
Brevundimonas staleyi	0.9519	0.9468	0.01249	0.4083
Brevundimonas mediterranea	0.9528	0.9467	0.01248	0.4888
Brevundimonas variabilis	0.9519	0.9468	0.01249	0.4083
Brevundimonas bullata	0.9548	0.9467	0.01244	0.6511
Brevundimonas intermedia	0.9567	0.9466	0.01238	0.8158
Brevundimonas faecalis	0.9562	0.9466	0.01240	0.7742
Brevundimonas nasdae	0.9487	0.9469	0.01253	0.1437
Brevundimonas naejangsanensis	0.9498	0.9469	0.01252	0.2316
Brevundimonas diminuta	0.9414	0.9472	0.01248	0.4647
Brevundimonas poindexterae	0.9462	0.9470	0.01253	0.06385
Brevundimonas bacteroides	0.9409	0.9472	0.01248	0.5048
Brevundimonas terrae	0.9397	0.9472	0.01245	0.6024
Brevundimonas vancanneytii	0.9360	0.9474	0.01234	0.9238
Brevundimonas aveniformis	0.9308	0.9476	0.01211	1.387
Brevundimonas alba	0.9523	0.9468	0.01249	0.4404
Brevundimonas abyssalis	0.9295	0.9476	0.01204	1.503
Brevundimonas canariensis	0.9095	0.9484	0.01005	3.871
Brevundimonas basaltis	0.9587	0.9465	0.01231	0.9911
Brevundimonas denitrificans	0.9580	0.9465	0.01234	0.9319
Brevundimonas halotolerans	0.9352	0.9474	0.01231	0.9911
Brevundimonas lenta	0.9698	0.9461	0.01167	2.031
Brevundimonas subvibrioides	0.9582	0.9465	0.01233	0.9489
Brevundimonas vesicularis	0.9621	0.9464	0.01216	1.291
