Caballeronia humi	0.9571	0.9574	0.009466	0.03169
Caballeronia grimmiae	0.9615	0.9570	0.009367	0.4804
Caballeronia glathei	0.9384	0.9593	0.007075	2.954
Caballeronia zhejiangensis	0.9636	0.9567	0.009238	0.7469
Caballeronia choica	0.9503	0.9581	0.009172	0.8504
Caballeronia cordobensis	0.9665	0.9565	0.008968	1.115
Caballeronia sordidicola	0.9611	0.9570	0.009385	0.4369
Caballeronia udeis	0.9511	0.9580	0.009236	0.7471
Caballeronia megalochromosomata	0.9630	0.9568	0.00928	0.6681
Caballeronia terrestris	0.9705	0.9561	0.008404	1.713
Caballeronia telluris	0.9479	0.9583	0.008931	1.164
